project,coverage,details,mode,status
AgMonk_merge-gf-assets,28.88,maven_returncode=0,nativo+kex+evosuite,success
akhunovaa_customer-service,0.0,maven_timeout,nativo+kex+evosuite,timeout_with_partial_coverage
alek-sys_spring-functional-microframework,0.0,maven_returncode=0,nativo+kex+evosuite,success
alexandermakeev_toy-language,90.76,,nativo+kex+evosuite,
alexandreaquiles_dibujo,99.16,maven_returncode=0,nativo+kex+evosuite,success
alkemyTech_OT275-server,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
amigoscode_springboot-twilio,0.0,maven_returncode=0,nativo+kex+evosuite,success
arieslab_jnose-core,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
arothuis_antlr4-calculator,32.43,maven_returncode=0,nativo+kex+evosuite,success
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,33.23,maven_returncode=0,nativo+kex+evosuite,success
aws-samples_apache-flink-near-online-data-enrichment-patterns,50.84,maven_returncode=0,nativo+kex+evosuite,success
awslabs_kinesis-kafka-connector,50.67,maven_returncode=0,nativo+kex+evosuite,success
basquiat78_interface-bbuljit,89.73,maven_returncode=0,nativo+kex+evosuite,success
bulinha_residencia-serratec-music-manager-api,35.36,maven_returncode=0,nativo+kex+evosuite,success
bykowski_invoice-spring-mvc-example,87.01,maven_returncode=0,nativo+kex+evosuite,success
c-guntur_jvms-compare,24.12,maven_returncode=0,nativo+kex+evosuite,success
camunda-community-hub_zeebe-worker-java-testutils,92.16,maven_returncode=0,nativo+kex+evosuite,success
cfrasinaru_Graph4J,68.24,maven_returncode=0,nativo+kex+evosuite,success
cloudblue_xml-doclet,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
code-it-team_gotcha-be,73.87,maven_returncode=0,nativo+kex+evosuite,success
codingspecialist_Springboot-JPA-Blog,52.86,maven_returncode=0,nativo+kex+evosuite,success
commoncrawl_cc-webgraph,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
cxzero_CVE-2022-42889-text4shell,91.03,maven_returncode=0,nativo+kex+evosuite,success
DevUpgrade-online_season-2,58.42,maven_returncode=0,nativo+kex+evosuite,success
digitalpetri_strict-machine,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
dr-mod_tidy-flappy-bird,73.36,maven_returncode=0,nativo+kex+evosuite,success
drasyl_netty-tun,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
eBay_digital-signature-verification-ebay-api,67.22,maven_returncode=0,nativo+kex+evosuite,success
eh3rrera_graphql-java-spring-boot-example,67.76,maven_returncode=0,nativo+kex+evosuite,success
fatihhernn_spring-boot-ecommerce,91.43,maven_returncode=0,nativo+kex+evosuite,success
FENGYU-008_ERP,50.25,maven_returncode=0,nativo+kex+evosuite,success
fireinrain_javbus-telegram-bot,25.14,maven_returncode=0,nativo+kex+evosuite,success
folksdev_movie-api,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
francoiducat_springboot-minimal-graphql-client,91.5,maven_returncode=0,nativo+kex+evosuite,success
GCS-ZHN_movie-on-server,12.11,maven_returncode=0,nativo+kex+evosuite,success
gofabian_junit-fixture-extension,99.9,maven_returncode=0,nativo+kex+evosuite,success
GSMgeeth_medium-coffeeshop-sample,53.63,maven_returncode=0,nativo+kex+evosuite,success
GuillaumeFalourd_java-training-api,61.65,,nativo+kex+evosuite,
hamitmizrak_SpringMvcSpringDataSpringRest,34.9,maven_returncode=0,nativo+kex+evosuite,success
hannotify_eleven-crazy-java-things,95.64,maven_returncode=0,nativo+kex+evosuite,success
hhimanshu_spring-boot-liquibase,100.0,maven_returncode=0,nativo+kex+evosuite,success
iainporter_spring-file-poller,100.0,maven_returncode=0,nativo+kex+evosuite,success
IBM_ibm-ix-aem-sonarqube-plugin,48.73,maven_returncode=0,nativo+kex+evosuite,success
itsecurityco_CVE-2022-22965,70.97,maven_returncode=0,nativo+kex+evosuite,success
ivanjakimovski_spring-boot-pdf-generator,91.84,maven_returncode=0,nativo+kex+evosuite,success
iwamih31_AccountBook,0.0,maven_returncode=0,nativo+kex+evosuite,success
jckleiner_notion-backup,43.48,maven_returncode=0,nativo+kex+evosuite,success
jeonjeunghoon_Kculter,40.06,maven_returncode=0,nativo+kex+evosuite,success
juliengalet_reactor-flow,98.3,maven_returncode=0,nativo+kex+evosuite,success
Katibat_java-filmorate,74.91,maven_returncode=0,nativo+kex+evosuite,success
kousen_questjpa,91.58,maven_returncode=0,nativo+kex+evosuite,success
kriscfoster_spring-boot-testing-pyramid,100.0,maven_returncode=0,nativo+kex+evosuite,success
kymotz_mdkiller,95.55,maven_returncode=0,nativo+kex+evosuite,success
kyungseo_project-web-starter,47.78,maven_returncode=0,nativo+kex+evosuite,success
Le36_chip36,98.49,maven_returncode=0,nativo+kex+evosuite,success
leanstacks_skeleton-ws-spring-boot,0.0,maven_returncode=0,nativo+kex+evosuite,success
liuhongdi_ratelimiter,10.3,maven_returncode=0,nativo+kex+evosuite,success
lyubenblagoev_postfix-rest-server,36.59,maven_returncode=0,nativo+kex+evosuite,success
mariamihai_spring-security-amigoscode-tutorial,59.6,maven_returncode=0,nativo+kex+evosuite,success
markbdsouza_hateoas-with-pagination,24.15,maven_returncode=0,nativo+kex+evosuite,success
martinachov_hexagonal-architecture-ddd-springboot,68.9,maven_returncode=0,nativo+kex+evosuite,success
max-jang_korea-music-chart-api,5.96,maven_returncode=0,nativo+kex+evosuite,success
MikeAScott_spring-todo-list,4.01,maven_returncode=0,nativo+kex+evosuite,success
moacirrf_nb-java-decompiler,61.51,maven_returncode=0,nativo+kex+evosuite,success
mohaghighi_Covid19-Web-Application,,maven_returncode=1,nativo+kex+evosuite,no_jacoco_csv
Mozenn_spring-boot-hibernate-search,48.89,maven_returncode=0,nativo+kex+evosuite,success
Mozenn_spring-boot-keycloak,49.75,maven_returncode=0,nativo+kex+evosuite,success
nikoo28_java-solutions,0.0,maven_returncode=0,nativo+kex+evosuite,success
nishihatapalmer_TreeTable,54.18,maven_returncode=0,nativo+kex+evosuite,success
nscuro_bradamsa-ng,65.97,maven_returncode=0,nativo+kex+evosuite,success
nuriofernandez_ReflectedEventHandler,69.25,maven_returncode=0,nativo+kex+evosuite,success
olein_Java-AWS-RnD,62.36,maven_returncode=0,nativo+kex+evosuite,success
OmarAlHaj24_OnDriver,84.38,maven_returncode=0,nativo+kex+evosuite,success
Online-Job-Portal-CG_Backend,46.94,maven_returncode=0,nativo+kex+evosuite,success
openapi-json-schema-tools_openapi-json-schema-generator,53.36,maven_returncode=0,nativo+kex+evosuite,success
piinalpin_springboot-jpa-specification,85.41,maven_returncode=0,nativo+kex+evosuite,success
Pradyuman7_Algorithmics,100.0,maven_returncode=0,nativo+kex+evosuite,success
puzpuzpuz_java-concurrency-samples,99.28,maven_returncode=0,nativo+kex+evosuite,success
raffoulRicardo_movimento-qa-2023,78.8,maven_returncode=0,nativo+kex+evosuite,success
rahul26021999_QrCode-JavaSpringBoot,62.75,maven_returncode=0,nativo+kex+evosuite,success
raviyasas_sample-room,56.56,maven_returncode=0,nativo+kex+evosuite,success
rmondejar_spring-boot-junit5-example,92.74,maven_returncode=0,nativo+kex+evosuite,success
RTBHOUSE_kafka-workers,70.96,maven_returncode=0,nativo+kex+evosuite,success
