project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
AgMonk_merge-gf-assets,kex+evosuite,28.79,19.38,241,358,340,489,62,149,success,maven_returncode=0
akhunovaa_customer-service,kex+evosuite,64.59,48.59,56,184,77,164,17,113,success,maven_returncode=0
alek-sys_spring-functional-microframework,kex+evosuite,0.0,0.0,12,12,24,24,9,9,success,maven_returncode=0
alexandermakeev_toy-language,kex+evosuite,59.91,50.45,254,730,503,1324,47,385,success,maven_returncode=0
alexandreaquiles_dibujo,kex+evosuite,43.34,29.75,60,103,86,183,0,24,success,maven_returncode=0
alkemyTech_OT275-server,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | gins:maven-checkstyle-plugin].dependencies.dependency.scope' for org.junit.vintage:junit-vintage-engine:jar must be one of [compile, runtime, system] but is 'test'. @ line 102, column 12 [ERROR]     'build.plugins.plugin[org.apache.maven.plugins:maven-checkstyle-plugin].dependencies.dependency.scope' for org.evosuite:evosuite-standalone-runtime:jar must be one of [compile, runtime, system] but is 'test'. @ line 109, column 12 [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException "
amigoscode_springboot-twilio,kex+evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0
arieslab_jnose-core,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | .plugins:maven-surefire-plugin].dependencies.dependency.scope' for org.junit.vintage:junit-vintage-engine:jar must be one of [compile, runtime, system] but is 'test'. @ line 205, column 12 [ERROR]     'build.plugins.plugin[org.apache.maven.plugins:maven-surefire-plugin].dependencies.dependency.scope' for org.evosuite:evosuite-standalone-runtime:jar must be one of [compile, runtime, system] but is 'test'. @ line 212, column 12 [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/ProjectBuildingException "
arothuis_antlr4-calculator,kex+evosuite,31.81,15.45,122,185,255,359,71,127,success,maven_returncode=0
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,kex+evosuite,33.23,8.33,35,69,118,185,11,45,success,maven_returncode=0
aws-samples_apache-flink-near-online-data-enrichment-patterns,kex+evosuite,50.84,33.33,30,81,156,324,24,74,success,maven_returncode=0
awslabs_kinesis-kafka-connector,kex+evosuite,50.67,59.65,54,141,203,427,13,50,success,maven_returncode=0
