project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,kex,34.625,5.0,45,91,78,135,35,81,success,maven_returncode=0; tests_selected=169,381,0.381
AgMonk_merge-gf-assets,kex,0.0,0.0,358,358,489,489,149,149,success,maven_returncode=0; tests_selected=168,765,0.765
akhunovaa_customer-service,kex,56.391,22.535,77,184,81,164,17,113,success,maven_returncode=0; tests_selected=212,464,0.464
alexandreaquiles_dibujo,kex,24.134,7.595,76,103,139,183,1,24,success,maven_returncode=0; tests_selected=50,278,0.278
alkemyTech_OT275-server,kex,66.196,44.286,414,1535,846,2354,281,1325,success,maven_returncode=0; tests_selected=2098,7101,7.101
amigoscode_springboot-twilio,kex,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0; tests_selected=44,160,0.16
anicetkeric_aws-cognito-spring-auth-server,kex,42.748,28.279,133,312,213,344,39,190,success,maven_returncode=0; tests_selected=294,826,0.826
artmcoder_Buysell,kex,100.0,0,0,4,0,5,0,4,success,maven_returncode=0; tests_selected=10,19,0.019
ashrawan_apache-poi-chart-sample,kex,18.511,10.131,435,597,1480,1586,145,283,success,maven_returncode=0; tests_selected=302,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,kex,2.011,0.901,122,125,436,445,53,56,success,maven_returncode=0; tests_selected=8,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,kex,27.77,8.333,40,69,126,185,16,45,success,maven_returncode=0; tests_selected=62,340,0.34
awslabs_kinesis-kafka-connector,kex,,,,,,,,,no_generated_tests,Nenhuma classe encontrada em kex-tests,774,0.774
basquiat78_interface-bbuljit,kex,71.041,26.829,37,102,10,73,3,61,success,maven_returncode=0; tests_selected=116,257,0.257
bulinha_residencia-serratec-music-manager-api,kex,45.944,22.794,150,382,355,796,89,314,success,maven_returncode=0; tests_selected=486,2131,2.131
bykowski_invoice-spring-mvc-example,kex,74.576,0,4,22,10,50,4,22,success,maven_returncode=0; tests_selected=36,126,0.126
code-it-team_gotcha-be,kex,50.598,20.779,180,448,312,544,114,371,success,maven_returncode=0; tests_selected=475,1610,1.61
cxzero_CVE-2022-42889-text4shell,kex,91.026,50.0,2,11,1,22,0,9,success,maven_returncode=0; tests_selected=20,54,0.054
DevUpgrade-online_season-2,kex,52.806,26.471,56,161,115,311,27,127,success,maven_returncode=0; tests_selected=189,877,0.877
dr-mod_tidy-flappy-bird,kex,49.549,30.435,159,387,458,1008,41,247,success,maven_returncode=0; tests_selected=472,1741,1.741
eBay_digital-signature-verification-ebay-api,kex,0.0,0.0,83,83,336,336,42,42,success,maven_returncode=0; tests_selected=22,620,0.62
eh3rrera_graphql-java-spring-boot-example,kex,39.773,29.412,63,114,84,139,35,80,success,maven_returncode=0; tests_selected=92,381,0.381
ErgunAhmet_DataJpaYt,kex,43.932,25.728,242,447,241,407,74,241,success,maven_returncode=0; tests_selected=362,1077,1.077
fatihhernn_spring-boot-ecommerce,kex,67.604,27.273,44,117,0,53,2,62,success,maven_returncode=0; tests_selected=114,194,0.194
FENGYU-008_ERP,kex,20.899,0.0,113,241,453,634,96,224,success,maven_returncode=0; tests_selected=252,1482,1.482
fireinrain_javbus-telegram-bot,kex,17.815,7.526,622,864,2507,3110,233,464,success,maven_returncode=0; tests_selected=458,4340,4.34
folksdev_movie-api,kex,42.624,33.333,93,189,221,371,79,171,success,maven_returncode=0; tests_selected=405,604,0.604
francoiducat_springboot-minimal-graphql-client,kex,91.503,0,0,23,4,41,0,23,success,maven_returncode=0; tests_selected=42,94,0.094
gabrieldim_CSV-Export-Spring-Boot,kex,50.667,50.0,4,17,13,42,3,16,success,maven_returncode=0; tests_selected=28,102,0.102
gabrieldim_Email-Sender-Spring-Boot,kex,37.037,0,2,6,11,20,2,6,success,maven_returncode=0; tests_selected=11,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,kex,17.526,0,2,6,23,30,2,6,success,maven_returncode=0; tests_selected=8,62,0.062
gavinklfong_spring-investment-platform,kex,67.677,26.512,178,451,20,148,12,236,success,maven_returncode=0; tests_selected=452,342,0.342
GCS-ZHN_movie-on-server,kex,0.0,0.0,292,292,678,678,149,149,success,maven_returncode=0; tests_selected=87,1345,1.345
GSMgeeth_medium-coffeeshop-sample,kex,47.556,13.333,41,87,94,208,27,72,success,maven_returncode=0; tests_selected=76,518,0.518
GuillaumeFalourd_java-training-api,kex,61.654,37.5,10,28,15,44,4,20,success,maven_returncode=0; tests_selected=36,132,0.132
hamitmizrak_AllSpringBlogProject,kex,36.965,11.688,124,215,114,194,54,138,success,maven_returncode=0; tests_selected=176,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,kex,35.741,14.885,241,437,452,612,122,306,success,maven_returncode=0; tests_selected=427,1425,1.425
hannotify_eleven-crazy-java-things,kex,90.769,50.0,7,53,13,95,4,49,success,maven_returncode=0; tests_selected=100,249,0.249
hhimanshu_spring-boot-liquibase,kex,84.444,0,2,17,2,31,2,17,success,maven_returncode=0; tests_selected=30,135,0.135
innoq_cookie-based-session-springboot-app,kex,24.519,0.0,58,76,138,194,41,59,success,maven_returncode=0; tests_selected=12,431,0.431
itsecurityco_CVE-2022-22965,kex,66.129,0,3,10,8,25,3,10,success,maven_returncode=0; tests_selected=16,54,0.054
ivanjakimovski_spring-boot-pdf-generator,kex,17.347,0,2,6,23,30,2,6,success,maven_returncode=0; tests_selected=8,60,0.06
iwamih31_AccountBook,kex,0.0,0.0,554,554,1615,1615,312,312,success,maven_returncode=0; tests_selected=287,2688,2.688
janlely_jparser,kex,58.302,27.066,409,854,406,1096,208,609,success,maven_returncode=0; tests_selected=797,1901,1.901
jeonjeunghoon_Kculter,kex,37.848,8.485,149,441,656,1369,71,358,success,maven_returncode=0; tests_selected=666,2771,2.771
jonashackt_spring-boot-buildpack,kex,73.81,0,2,8,5,13,2,8,success,maven_returncode=0; tests_selected=10,41,0.041
jsalonl_interceptor-springboot,kex,68.341,37.5,19,102,54,112,16,98,success,maven_returncode=0; tests_selected=151,314,0.314
juliengalet_reactor-flow,kex,99.504,96.875,12,386,7,800,7,305,build_with_test_issues,maven_returncode=1; tests_selected=311,1956,1.956
kanajin_Aqua-docker,kex,,,,,,,,,exception,[Errno 7] Argument list too long: '/bin/sh',27852,27.852
Katibat_java-filmorate,kex,38.753,23.016,177,330,262,425,68,204,success,maven_returncode=0; tests_selected=305,1082,1.082
kiberohrannik_webflux-log,kex,21.505,12.162,139,192,290,397,105,155,success,maven_returncode=0; tests_selected=102,1027,1.027
kousen_questjpa,kex,81.185,28.333,34,145,18,216,8,115,success,maven_returncode=0; tests_selected=220,615,0.615
koushikkothagal_ipl-dashboard,kex,93.836,90.0,5,108,8,214,4,103,success,maven_returncode=0; tests_selected=163,527,0.527
koushikkothagal_spring-boot-security,kex,0.0,0,10,10,24,24,10,10,success,maven_returncode=0; tests_selected=14,61,0.061
kriscfoster_spring-boot-testing-pyramid,kex,100.0,0,0,6,0,9,0,6,success,maven_returncode=0; tests_selected=14,33,0.033
kyungseo_project-web-starter,kex,41.098,32.637,1533,2759,3409,5602,812,1835,success,maven_returncode=0; tests_selected=2055,12472,12.472
liuhongdi_ratelimiter,kex,0.0,0.0,54,54,134,134,50,50,success,maven_returncode=0; tests_selected=86,315,0.315
lyubenblagoev_postfix-rest-server,kex,28.784,0.588,292,531,661,1106,207,446,success,maven_returncode=0; tests_selected=493,2770,2.77
maciejwalkowiak_paseq-maven-plugin,kex,45.217,34.0,29,62,69,120,9,37,success,maven_returncode=0; tests_selected=58,246,0.246
mariamihai_spring-security-amigoscode-tutorial,kex,60.48,0.0,23,73,77,191,21,71,success,maven_returncode=0; tests_selected=74,515,0.515
