project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,native+kex+evosuite,66.796,45.0,28,91,52,135,22,81,success,maven_returncode=0,381,0.381
AgMonk_merge-gf-assets,native+kex+evosuite,27.48,18.66,245,358,352,489,63,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,native+kex+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,464,0.464
alexandreaquiles_dibujo,native+kex+evosuite,99.161,91.772,13,103,2,183,0,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,native+kex+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,7101,7.101
amigoscode_springboot-twilio,native+kex+evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
anicetkeric_aws-cognito-spring-auth-server,native+kex+evosuite,61.687,40.984,102,312,128,344,24,190,success,maven_returncode=0,826,0.826
artmcoder_Buysell,native+kex+evosuite,100.0,0,0,4,0,5,0,4,success,maven_returncode=0,19,0.019
ashrawan_apache-poi-chart-sample,native+kex+evosuite,42.63,52.124,235,597,1121,1586,76,283,success,maven_returncode=0,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,native+kex+evosuite,15.965,3.604,92,125,374,445,24,56,success,maven_returncode=0,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,native+kex+evosuite,33.235,8.333,35,69,118,185,11,45,success,maven_returncode=0,340,0.34
awslabs_kinesis-kafka-connector,native+kex+evosuite,51.245,60.819,52,141,202,427,13,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,native+kex+evosuite,84.165,76.829,16,102,19,73,5,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,native+kex+evosuite,36.223,29.412,144,382,393,796,86,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,native+kex+evosuite,87.006,0,3,22,7,50,3,22,success,maven_returncode=0,126,0.126
code-it-team_gotcha-be,native+kex+evosuite,73.87,31.169,97,448,142,544,38,371,success,maven_returncode=0,1610,1.61
cxzero_CVE-2022-42889-text4shell,native+kex+evosuite,91.026,50.0,2,11,1,22,0,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,native+kex+evosuite,58.417,54.412,51,161,120,311,27,127,success,maven_returncode=0,877,0.877
dr-mod_tidy-flappy-bird,native+kex+evosuite,73.285,58.696,96,387,244,1008,15,247,success,maven_returncode=0,1741,1.741
eBay_digital-signature-verification-ebay-api,native+kex+evosuite,67.218,61.111,41,83,116,336,18,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,native+kex+evosuite,67.756,76.471,33,114,51,139,22,80,success,maven_returncode=0,381,0.381
