project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details
AgMonk_merge-gf-assets,native+evosuite,9.22,5.98,325,358,414,489,128,149,success,maven_returncode=0
akhunovaa_customer-service,native+evosuite,0.0,0.0,184,184,164,164,113,113,timeout_with_partial_coverage,maven_timeout
alek-sys_spring-functional-microframework,native+evosuite,0.0,0.0,12,12,24,24,9,9,success,maven_returncode=0
alexandermakeev_toy-language,native+evosuite,88.38,75.6,164,730,109,1324,37,385,success,maven_returncode=0
alexandreaquiles_dibujo,native+evosuite,99.16,91.77,13,103,2,183,0,24,success,maven_returncode=0
alkemyTech_OT275-server,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
amigoscode_springboot-twilio,native+evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0
arieslab_jnose-core,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
arothuis_antlr4-calculator,native+evosuite,32.43,16.36,121,185,252,359,71,127,success,maven_returncode=0
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,native+evosuite,16.25,0.0,43,69,146,185,19,45,success,maven_returncode=0
aws-samples_apache-flink-near-online-data-enrichment-patterns,native+evosuite,50.84,33.33,30,81,156,324,24,74,success,maven_returncode=0
awslabs_kinesis-kafka-connector,native+evosuite,50.67,59.65,54,141,203,427,13,50,success,maven_returncode=0
basquiat78_interface-bbuljit,native+evosuite,72.47,70.73,30,102,23,73,17,61,success,maven_returncode=0
bulinha_residencia-serratec-music-manager-api,native+evosuite,6.16,5.88,348,382,742,796,283,314,success,maven_returncode=0
bykowski_invoice-spring-mvc-example,native+evosuite,84.18,0,4,22,9,50,4,22,success,maven_returncode=0
c-guntur_jvms-compare,native+evosuite,24.12,27.28,1293,1904,6371,8841,201,575,success,maven_returncode=0
camunda-community-hub_zeebe-worker-java-testutils,native+evosuite,92.16,87.5,7,137,22,276,3,115,success,maven_returncode=0
cfrasinaru_Graph4J,native+evosuite,58.38,51.33,2898,5821,5409,13189,854,2299,success,maven_returncode=0
cloudblue_xml-doclet,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
code-it-team_gotcha-be,native+evosuite,27.27,5.19,312,448,356,544,238,371,success,maven_returncode=0
codingspecialist_Springboot-JPA-Blog,native+evosuite,8.52,7.14,467,514,290,309,265,297,success,maven_returncode=0
commoncrawl_cc-webgraph,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
cxzero_CVE-2022-42889-text4shell,native+evosuite,7.69,0.0,9,11,20,22,7,9,success,maven_returncode=0
DevUpgrade-online_season-2,native+evosuite,47.35,47.06,88,161,179,311,61,127,success,maven_returncode=0
digitalpetri_strict-machine,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
dr-mod_tidy-flappy-bird,native+evosuite,63.45,46.01,160,387,353,1008,67,247,success,maven_returncode=0
drasyl_netty-tun,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
eBay_digital-signature-verification-ebay-api,native+evosuite,67.22,61.11,41,83,116,336,18,42,success,maven_returncode=0
eh3rrera_graphql-java-spring-boot-example,native+evosuite,55.11,63.24,51,114,73,139,37,80,success,maven_returncode=0
fatihhernn_spring-boot-ecommerce,native+evosuite,76.17,77.27,34,117,10,53,21,62,success,maven_returncode=0
FENGYU-008_ERP,native+evosuite,34.2,0.0,176,241,420,634,159,224,success,maven_returncode=0
fireinrain_javbus-telegram-bot,native+evosuite,23.54,16.58,564,864,2375,3110,217,464,success,maven_returncode=0
folksdev_movie-api,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1
francoiducat_springboot-minimal-graphql-client,native+evosuite,34.64,0,10,23,27,41,10,23,success,maven_returncode=0
GCS-ZHN_movie-on-server,native+evosuite,12.47,7.86,260,292,582,678,120,149,success,maven_returncode=0
gofabian_junit-fixture-extension,native+evosuite,99.9,98.39,1,106,0,225,0,75,success,maven_returncode=0
GSMgeeth_medium-coffeeshop-sample,native+evosuite,33.55,6.67,64,87,126,208,50,72,success,maven_returncode=0
