project,coverage,details,mode,status
AgMonk_merge-gf-assets,28.79,maven_returncode=0,nativo+kex,success
akhunovaa_customer-service,,maven_timeout,nativo+kex,timeout
alek-sys_spring-functional-microframework,0.0,maven_returncode=0,nativo+kex,success
alexandermakeev_toy-language,64.67,,nativo+kex,
alexandreaquiles_dibujo,94.54,maven_returncode=0,nativo+kex,success
alkemyTech_OT275-server,,maven_returncode=1,nativo+kex,no_jacoco_csv
amigoscode_springboot-twilio,0.0,maven_returncode=0,nativo+kex,success
arieslab_jnose-core,,maven_returncode=1,nativo+kex,no_jacoco_csv
arothuis_antlr4-calculator,0.0,maven_returncode=0,nativo+kex,success
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,27.77,maven_returncode=0,nativo+kex,success
aws-samples_apache-flink-near-online-data-enrichment-patterns,15.7,maven_returncode=0,nativo+kex,success
awslabs_kinesis-kafka-connector,0.0,maven_returncode=0,nativo+kex,success
basquiat78_interface-bbuljit,71.04,maven_returncode=0,nativo+kex,success
bulinha_residencia-serratec-music-manager-api,45.94,maven_returncode=0,nativo+kex,success
bykowski_invoice-spring-mvc-example,74.58,maven_returncode=0,nativo+kex,success
c-guntur_jvms-compare,1.06,maven_returncode=0,nativo+kex,success
camunda-community-hub_zeebe-worker-java-testutils,77.73,maven_returncode=0,nativo+kex,success
cfrasinaru_Graph4J,0.0,maven_returncode=0,nativo+kex,success
cloudblue_xml-doclet,,maven_returncode=1,nativo+kex,no_jacoco_csv
code-it-team_gotcha-be,69.29,maven_returncode=0,nativo+kex,success
codingspecialist_Springboot-JPA-Blog,50.99,maven_returncode=0,nativo+kex,success
commoncrawl_cc-webgraph,,maven_returncode=1,nativo+kex,no_jacoco_csv
cxzero_CVE-2022-42889-text4shell,91.03,maven_returncode=0,nativo+kex,success
DevUpgrade-online_season-2,64.57,maven_returncode=0,nativo+kex,success
digitalpetri_strict-machine,,maven_returncode=1,nativo+kex,no_jacoco_csv
dr-mod_tidy-flappy-bird,49.14,maven_returncode=0,nativo+kex,success
drasyl_netty-tun,,maven_returncode=1,nativo+kex,no_jacoco_csv
eBay_digital-signature-verification-ebay-api,67.22,maven_returncode=0,nativo+kex,success
eh3rrera_graphql-java-spring-boot-example,51.14,maven_returncode=0,nativo+kex,success
fatihhernn_spring-boot-ecommerce,67.6,maven_returncode=0,nativo+kex,success
FENGYU-008_ERP,50.25,maven_returncode=0,nativo+kex,success
fireinrain_javbus-telegram-bot,18.05,maven_returncode=0,nativo+kex,success
folksdev_movie-api,,maven_returncode=1,nativo+kex,no_jacoco_csv
francoiducat_springboot-minimal-graphql-client,91.5,maven_returncode=0,nativo+kex,success
