TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.lucene.search.similarities.AnotherCustomAutocompleteSimilarity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8096374045801527,266,256
org.apache.lucene.search.spans.BoostSpanTermQuery,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3666505063563887,170,79
org.apache.lucene.search.spans.BoostTermSpans,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,19,19
org.apache.lucene.search.spans.BoostedSpans,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,3,0
org.apache.lucene.search.spans.BoostedFilterSpans,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,33,0
org.apache.lucene.search.spans.BoostedSpanOrQuery,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.38798628304278654,907,182
org.apache.lucene.query.DamerauLevenshteinAlgorithm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9477678571428572,293,293
org.apache.lucene.query.PositionSpanQuery,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3711864481526036,623,182
org.apache.lucene.analysis.LetterOrDigitTokenizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,38,38
org.apache.lucene.analysis.PositionInsertFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20326206140350878,51,8
org.apache.lucene.analysis.DeduplicateFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15208333333333332,49,5
org.apache.lucene.analysis.PositionInsertFilterFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7291666666666667,28,27
org.apache.lucene.analysis.DeduplicateFilterFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7291666666666667,28,27
org.apache.solr.search.span.BoostedSpanMultiTermQueryWrapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.65718240452283,258,184
org.apache.solr.spelling.suggest.CdiscountSuggesterOptionsUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7708333333333333,16,14
