TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.coreoz.windmill.files.FileTypeGuesser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6053300865800866,50,30
com.coreoz.windmill.files.BomCharset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8774263721552878,169,161
com.coreoz.windmill.files.FileSource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8975694444444444,39,39
com.coreoz.windmill.imports.NumberValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8416666666666667,81,69
com.coreoz.windmill.imports.Parsers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,80,75
com.coreoz.windmill.imports.parsers.excel.ExcelRow,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8617498514557338,86,83
com.coreoz.windmill.imports.parsers.excel.ExcelCell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8965773809523809,140,139
com.coreoz.windmill.imports.parsers.excel.OpenXmlExcelParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7881944444444444,49,27
com.coreoz.windmill.imports.parsers.excel.BaseExcelParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6610576923076923,67,51
com.coreoz.windmill.imports.parsers.excel.BinaryExcelParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.78125,49,25
com.coreoz.windmill.imports.parsers.csv.CsvCell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,65,61
com.coreoz.windmill.imports.parsers.csv.CsvRow,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,69,68
com.coreoz.windmill.imports.parsers.csv.CsvCellIterator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8903985507246377,51,51
com.coreoz.windmill.exports.exporters.excel.ExcelExporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3748015873015873,252,69
com.coreoz.windmill.exports.exporters.excel.ExcelCellStylerEmpty,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,15,15
com.coreoz.windmill.exports.exporters.excel.ExcelCellStyler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,14,12
com.coreoz.windmill.exports.exporters.csv.CsvExporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8177144249512671,293,255
