TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.github.cuteluobo.livedanmuarchive.pojo.DanMuUserInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,81,79
com.github.cuteluobo.livedanmuarchive.pojo.DataPageSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,62,62
com.github.cuteluobo.livedanmuarchive.pojo.HuYaUserInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9861111111111112,126,124
com.github.cuteluobo.livedanmuarchive.pojo.BiliDanMuSenderAccountData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,103,103
com.github.cuteluobo.livedanmuarchive.pojo.DataPage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666667,105,102
com.github.cuteluobo.livedanmuarchive.pojo.DanMuExportDataInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,64,64
com.github.cuteluobo.livedanmuarchive.pojo.HuyaDanMuFormatData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.github.cuteluobo.livedanmuarchive.pojo.LiveRoomData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,74,74
com.github.cuteluobo.livedanmuarchive.pojo.DanMuFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9875,255,251
com.github.cuteluobo.livedanmuarchive.pojo.DanMuSenderAccountData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,116,116
com.github.cuteluobo.livedanmuarchive.pojo.FormatDanMuData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,63,63
com.github.cuteluobo.livedanmuarchive.pojo.ExportFileData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.VideoPageData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.BaseResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,76,76
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.BiliDanMuAuthInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839285714285714,111,46
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.VideoPage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,148,148
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.DynamicVideoData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9305555555555556,50,45
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.BaseUserInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9903846153846154,178,176
com.github.cuteluobo.livedanmuarchive.pojo.biliapi.VideoAllInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.98125,296,287
com.github.cuteluobo.livedanmuarchive.pojo.danmusender.SenderCount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9963768115942029,115,113
com.github.cuteluobo.livedanmuarchive.pojo.danmusender.BiliProcessedVideoData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9757882882882883,182,176
com.github.cuteluobo.livedanmuarchive.pojo.danmusender.BiliProcessedPartVideoData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9880952380952381,190,188
