TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ix.ibm.sonar.java.MyJavaFileCheckRegistrar,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,34,23
ix.ibm.sonar.java.RulesList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.84375,124,104
ix.ibm.sonar.java.visitors.OverrideMethodFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,41,35
ix.ibm.sonar.java.visitors.FilterMethodFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5029761904761905,38,23
ix.ibm.sonar.java.visitors.FindSessionDeclarationVisitor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.34553600042730476,217,52
ix.ibm.sonar.java.visitors.ResponseStatusFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5219758064516129,95,36
ix.ibm.sonar.java.visitors.InjectAnnotationFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,29,28
ix.ibm.sonar.java.visitors.HttpCodeFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6388028895768834,97,56
ix.ibm.sonar.java.visitors.CheckLoggedOutVisitor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270833333333333,41,41
ix.ibm.sonar.java.visitors.ExpandedTreeVisitor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.625,22,14
ix.ibm.sonar.java.visitors.AemTestClassTreeVisitor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4,28,13
ix.ibm.sonar.java.visitors.AemContextExtensionFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,28,28
ix.ibm.sonar.java.visitors.AemTestClassFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7831462016244625,87,72
ix.ibm.sonar.java.utils.JavaFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5835863697705803,85,52
ix.ibm.sonar.java.utils.MockChecker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4239904295051354,57,20
ix.ibm.sonar.java.utils.WarningConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
ix.ibm.sonar.java.utils.Constants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
ix.ibm.sonar.java.utils.LiteralConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,10,8
ix.ibm.sonar.java.utils.AemRecognizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7209535256410257,69,51
ix.ibm.sonar.java.utils.PackageConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,2,0
ix.ibm.sonar.java.checks.mocks.AvoidMockingRequestAndResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7690563725490196,71,51
ix.ibm.sonar.java.checks.mocks.AvoidMockingOsgiComponents,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.46577380952380953,49,17
ix.ibm.sonar.java.checks.mocks.AvoidMockingResourceHandlingObjects,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7690563725490196,71,51
ix.ibm.sonar.java.checks.sling.TryWithResourcesResourceResolverRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.516355580693816,166,44
ix.ibm.sonar.java.checks.sling.AvoidOldSlingServletAnnotationsRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5874125874125874,51,18
ix.ibm.sonar.java.checks.sling.SlingServletResourceOverPathRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6060606060606061,45,18
ix.ibm.sonar.java.checks.sling.UseInjectorSpecificAnnotationsRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.36744505494505497,38,8
ix.ibm.sonar.java.checks.sling.UseConstantsForHttpCodesRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8208333333333333,27,23
ix.ibm.sonar.java.checks.sling.AvoidWcmUsePojoClassRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.66875,23,14
ix.ibm.sonar.java.checks.sling.AvoidDeprecatedAdministrativeRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.537041083916084,65,16
ix.ibm.sonar.java.checks.sling.CloseJcrSessionRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.33305180180180183,112,9
ix.ibm.sonar.java.checks.osgi.AvoidJcrApiRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8580808080808081,45,41
ix.ibm.sonar.java.checks.osgi.AvoidFelixAnnotationsRule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44583333333333336,21,8
