TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
software.pando.crypto.nacl.Salsa20,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8114530988274707,794,789
software.pando.crypto.nacl.CryptoSecretKey,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8261745123780945,203,184
software.pando.crypto.nacl.Ed25519,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.46622808117460546,1577,1024
software.pando.crypto.nacl.Salsa20Poly1305,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.809320133282071,385,372
software.pando.crypto.nacl.Subtle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6709456936129472,194,161
software.pando.crypto.nacl.SipHash24,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8686385031466167,842,827
software.pando.crypto.nacl.Crypto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7820801813211589,398,368
software.pando.crypto.nacl.Ed25519Constants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,194,0
software.pando.crypto.nacl.XSalsa20Poly1305,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7953431372549019,187,181
software.pando.crypto.nacl.HSalsa20,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8452380952380952,34,33
software.pando.crypto.nacl.SecretBox,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8097649044077615,631,605
software.pando.crypto.nacl.Poly1305,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8823162586978132,670,658
software.pando.crypto.nacl.ByteSlice,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8794063079777366,162,158
software.pando.crypto.nacl.HKDF,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7963819779880457,208,193
software.pando.crypto.nacl.Bytes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6934736033632468,249,195
software.pando.crypto.nacl.SHA512,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7635526593499367,205,170
