TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.github.nylle.javafixture.Reflector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5354702917202917,123,72
com.github.nylle.javafixture.ProxyInvocationHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,79,0
com.github.nylle.javafixture.PseudoRandom,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8767513736263737,232,215
com.github.nylle.javafixture.TypeCapture,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8194110576923077,114,101
com.github.nylle.javafixture.SpecimenType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7068276615255785,620,484
com.github.nylle.javafixture.JavaFixture,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,12,12
com.github.nylle.javafixture.CustomizationContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8668831168831168,80,70
com.github.nylle.javafixture.Context,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7917162698412699,108,96
com.github.nylle.javafixture.InstanceFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5688219980144663,356,241
com.github.nylle.javafixture.SpecimenFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7187035937035937,121,83
com.github.nylle.javafixture.instantiation.Instantiator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,50,50
com.github.nylle.javafixture.instantiation.Primitive,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7916666666666666,9,7
com.github.nylle.javafixture.instantiation.BuilderInstantiator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2893939393939394,59,17
com.github.nylle.javafixture.instantiation.FactoryMethodInstantiator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.49159226190476185,56,26
com.github.nylle.javafixture.instantiation.ConstructorInstantiator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5271825396825397,62,17
com.github.nylle.javafixture.specimen.PrimitiveSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.550093525729119,255,122
com.github.nylle.javafixture.specimen.EnumSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.46944444444444444,28,18
com.github.nylle.javafixture.specimen.InterfaceSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7115384615384616,55,52
com.github.nylle.javafixture.specimen.GenericSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8464556277056277,98,95
com.github.nylle.javafixture.specimen.SpecialSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7147389846743295,87,62
com.github.nylle.javafixture.specimen.TimeSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6911525974025974,101,68
com.github.nylle.javafixture.specimen.AbstractSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8132440476190476,68,61
com.github.nylle.javafixture.specimen.ArraySpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.42651821862348177,58,34
com.github.nylle.javafixture.specimen.CollectionSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3294275774826059,84,34
com.github.nylle.javafixture.specimen.ObjectSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.835,99,96
com.github.nylle.javafixture.specimen.MapSpecimen,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.26282051282051283,118,34
com.github.nylle.javafixture.specimen.constraints.StringConstraints,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,38,38
com.github.nylle.javafixture.annotations.testcases.ReflectedTestCase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4779248366013072,126,79
