TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.rtbhouse.kafka.workers.api.KafkaWorkers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3400105708245243,111,57
com.rtbhouse.kafka.workers.api.task.WorkerTask,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.34375,23,14
com.rtbhouse.kafka.workers.api.partitioner.HashFunctionPartitioner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.84375,73,71
com.rtbhouse.kafka.workers.api.partitioner.WorkerSubpartition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9206845238095238,240,234
com.rtbhouse.kafka.workers.api.partitioner.DefaultPartitioner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,23,19
com.rtbhouse.kafka.workers.api.record.RecordProcessingGuarantee,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8660714285714286,17,14
com.rtbhouse.kafka.workers.api.record.weigher.WeigherHelpers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8744369369369369,231,211
com.rtbhouse.kafka.workers.api.record.weigher.StringWeigher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,35,34
com.rtbhouse.kafka.workers.api.record.weigher.BytesWeigher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,34,33
com.rtbhouse.kafka.workers.api.record.weigher.ByteArrayWeigher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,39,38
com.rtbhouse.kafka.workers.impl.KafkaWorkersImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0875534188034188,359,10
com.rtbhouse.kafka.workers.impl.ShutdownListenerThread,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7433823529411765,38,28
com.rtbhouse.kafka.workers.impl.AbstractWorkersThread,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7904135338345865,88,81
com.rtbhouse.kafka.workers.impl.queues.QueuesManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10369744744744745,364,13
com.rtbhouse.kafka.workers.impl.queues.RecordsQueue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
