TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.skyg0d.spring.jwt.SpringBootJwtApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
com.skyg0d.spring.jwt.util.HttpUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5162878787878787,58,14
com.skyg0d.spring.jwt.util.RoleUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7916666666666666,14,12
com.skyg0d.spring.jwt.payload.UserMachineDetails,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8886363636363637,92,91
com.skyg0d.spring.jwt.payload.response.JwtResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8914835164835165,215,211
com.skyg0d.spring.jwt.payload.response.MessageResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,25,25
com.skyg0d.spring.jwt.payload.response.UserTokenResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8433555399719495,209,209
com.skyg0d.spring.jwt.payload.response.TokenRefreshResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8948863636363636,108,107
com.skyg0d.spring.jwt.payload.request.TokenRefreshRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8638888888888889,50,49
com.skyg0d.spring.jwt.payload.request.LoginRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8802083333333334,70,69
com.skyg0d.spring.jwt.payload.request.PromoteRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8731060606060607,71,69
com.skyg0d.spring.jwt.payload.request.SignupRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8886363636363637,92,91
com.skyg0d.spring.jwt.property.DefaultDataProps,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7833333333333333,72,66
com.skyg0d.spring.jwt.security.service.UserDetailsServiceImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.725,23,13
com.skyg0d.spring.jwt.service.UserService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7514705882352941,76,46
com.skyg0d.spring.jwt.service.RoleService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,15,14
