TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
tech.jiayezheng.miniJuliaSonar.Options,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8954741379310345,157,152
tech.jiayezheng.miniJuliaSonar.Progress,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8037093495934959,329,312
tech.jiayezheng.miniJuliaSonar.Binding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.281916520979021,427,159
tech.jiayezheng.miniJuliaSonar.Diagnostic,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,40,38
tech.jiayezheng.miniJuliaSonar.Stack,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9296875,50,50
tech.jiayezheng.miniJuliaSonar.Globals,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
tech.jiayezheng.miniJuliaSonar.Builtins,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40205131327893473,384,177
tech.jiayezheng.miniJuliaSonar.Analyzer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.12817050437333455,958,87
tech.jiayezheng.miniJuliaSonar.State,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6914882405953835,686,483
tech.jiayezheng.miniJuliaSonar.AstCache,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.08792123247319429,218,6
tech.jiayezheng.miniJuliaSonar.CallStackEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,10,10
tech.jiayezheng.miniJuliaSonar.demo.Demo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4875532973758188,219,43
tech.jiayezheng.miniJuliaSonar.demo.StyleApplier,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4968688905180841,341,220
tech.jiayezheng.miniJuliaSonar.demo.Style,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9050123762376238,176,174
tech.jiayezheng.miniJuliaSonar.demo.Linker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3005151207564284,465,33
tech.jiayezheng.miniJuliaSonar.type.StrType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.48928571428571427,40,20
