GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,StrType,30,0,4,0,7,0,5,0,3,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,Type.CyclicTypeRecorder,68,0,2,0,15,0,6,0,5,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,UnionType,367,0,74,0,86,0,50,0,13,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,TupleType,243,0,24,0,65,0,25,0,13,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,StructType,117,0,12,0,28,0,14,0,8,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,InstanceType,83,0,6,0,20,0,8,0,5,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,Types,290,0,0,0,54,0,2,0,2,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,ModuleType,76,0,12,0,21,0,10,0,4,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,PrimType,95,0,10,0,24,0,12,0,7,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,FuncType,295,0,38,0,67,0,33,0,14,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,DictType,49,0,2,0,16,0,7,0,6,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,SymbolType,3,0,0,0,1,0,1,0,1,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,VectorType,158,0,8,0,42,0,15,0,11,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar.type,Type,146,0,16,0,33,0,18,0,10,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Outliner.Entry,128,0,10,0,37,0,17,0,12,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Builtins.CoreModule,132,0,0,0,19,0,2,0,2,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,AstCache,241,0,18,0,65,0,19,0,10,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Binding,342,0,34,0,80,0,31,0,14,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Globals.Arch,4,0,0,0,1,0,1,0,1,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,.,1244,0,124,0,262,0,117,0,55,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Outliner,135,0,24,0,33,0,15,0,3,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,State.StateType,74,0,0,0,8,0,1,0,1,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Options,153,0,14,0,33,0,14,0,7,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Outliner.Leaf,24,0,0,0,9,0,7,0,7,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,TestInference,987,0,94,0,174,0,60,0,13,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,TypeStack.Pair,12,0,0,0,4,0,1,0,1,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Diagnostic,40,0,0,0,8,0,2,0,2,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Binding.Kind,94,0,0,0,10,0,1,0,1,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,CallStackEntry,9,0,0,0,4,0,1,0,1,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Outliner.Branch,41,0,4,0,11,0,9,0,7,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,TypeStack,61,0,10,0,11,0,9,0,4,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Stats,97,0,6,0,20,0,9,0,6,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Analyzer,1006,0,90,0,216,0,78,0,33,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Builtins.NativeModule,127,0,8,0,26,0,14,0,10,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Builtins,228,0,8,0,32,0,17,0,13,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Stack,38,0,2,0,8,0,5,0,4,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Progress,243,0,16,0,45,0,11,0,3,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,State,536,0,64,0,146,0,62,0,30,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Parser,4238,0,541,0,840,0,329,0,58,0
miniJuliaSonar,tech.jiayezheng.miniJuliaSonar,Globals,3,0,0,0,1,0,1,0,1,0
