TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
refactoring.app.AppApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
refactoring.app.chapter12.extractSuperclass.Department,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,38,38
refactoring.app.chapter12.extractSuperclass.Party,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9217171717171717,42,36
refactoring.app.chapter12.extractSuperclass.Employee,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,33,33
refactoring.app.chapter12.extractSuperclass.Staff,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
refactoring.app.chapter12.replaceSubclassWithDelegate.oneSubClass.PremiumBookingDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839285714285714,51,50
refactoring.app.chapter12.replaceSubclassWithDelegate.oneSubClass.Booking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7878787878787878,85,57
refactoring.app.chapter12.replaceSubclassWithDelegate.oneSubClass.Show,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
refactoring.app.chapter12.replaceSubclassWithDelegate.oneSubClass.Client,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,25,25
refactoring.app.chapter12.replaceSubclassWithDelegate.oneSubClass.Extras,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.NorwegianBlueParrot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,70,69
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.EuropeanSwallowDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,19,18
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.EuropeanSwallow,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,19,18
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.NorwegianBlueParrotDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,70,69
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.Client,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8379270186335404,81,69
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.SpeciesDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,24,23
refactoring.app.chapter12.replaceSubclassWithDelegate.multiSubClass.AfricanSwallow,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,38,38
