TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.universalchardet.UnicodeBOMInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7110914015090628,415,287
org.mozilla.universalchardet.ReaderFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.548989898989899,74,52
org.mozilla.universalchardet.Constants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
org.mozilla.universalchardet.UniversalDetector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7385507914324123,959,742
org.mozilla.universalchardet.prober.EUCTWProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8044080919080919,363,344
org.mozilla.universalchardet.prober.GB18030Prober,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8044080919080919,363,344
org.mozilla.universalchardet.prober.SingleByteCharsetProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8354521889400921,598,578
org.mozilla.universalchardet.prober.HebrewProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7910655489737639,943,806
org.mozilla.universalchardet.prober.MBCSGroupProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8305992220133352,429,407
org.mozilla.universalchardet.prober.SJISProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8064065757686071,444,425
org.mozilla.universalchardet.prober.CharsetProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6697996521366086,995,929
org.mozilla.universalchardet.prober.EUCJPProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8062099238928507,405,386
org.mozilla.universalchardet.prober.Latin1Prober,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8729619565217391,466,458
org.mozilla.universalchardet.prober.SBCSGroupProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.755709103749358,280,219
org.mozilla.universalchardet.prober.EscCharsetProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8388877759160778,421,408
org.mozilla.universalchardet.prober.UTF8Prober,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8422366772796075,349,337
org.mozilla.universalchardet.prober.EUCKRProber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8044080919080919,363,344
org.mozilla.universalchardet.prober.Big5Prober,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8044080919080919,363,344
org.mozilla.universalchardet.prober.distributionanalysis.JISDistributionAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,12,12
org.mozilla.universalchardet.prober.distributionanalysis.Big5DistributionAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8946705426356589,243,242
org.mozilla.universalchardet.prober.distributionanalysis.CharDistributionAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8707600195503421,272,262
org.mozilla.universalchardet.prober.distributionanalysis.EUCKRDistributionAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.894774011299435,140,140
org.mozilla.universalchardet.prober.distributionanalysis.SJISDistributionAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8949561403508772,328,327
org.mozilla.universalchardet.prober.distributionanalysis.EUCTWDistributionAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.894774011299435,140,140
org.mozilla.universalchardet.prober.contextanalysis.SJISContextAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9368606138107417,460,452
org.mozilla.universalchardet.prober.contextanalysis.JapaneseContextAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6725148123765635,550,392
org.mozilla.universalchardet.prober.contextanalysis.EUCJPContextAnalysis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9368686868686869,467,459
