TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
br.ufba.jnose.core.testsmelldetector.testsmell.TestMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,76,76
br.ufba.jnose.core.testsmelldetector.testsmell.SmellyElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,17,17
br.ufba.jnose.core.testsmelldetector.testsmell.TestClass,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,40,38
br.ufba.jnose.core.testsmelldetector.testsmell.TestFile,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9010416666666667,137,134
br.ufba.jnose.core.testsmelldetector.testsmell.MethodUsage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,110,110
br.ufba.jnose.core.testsmelldetector.testsmell.AbstractSmell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7186011904761905,52,39
br.ufba.jnose.core.testsmelldetector.testsmell.smell.ResourceOptimism,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2342074592074592,259,66
br.ufba.jnose.core.testsmelldetector.testsmell.smell.RedundantAssertion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.38108923975193904,283,49
br.ufba.jnose.core.testsmelldetector.testsmell.smell.DefaultTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45526960784313725,65,44
br.ufba.jnose.core.testsmelldetector.testsmell.smell.LazyTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2681612602185519,346,137
br.ufba.jnose.core.testsmelldetector.testsmell.smell.SensitiveEquality,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3269091415830546,153,47
br.ufba.jnose.core.testsmelldetector.testsmell.smell.UnknownTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.323538961038961,184,34
br.ufba.jnose.core.testsmelldetector.testsmell.smell.MysteryGuest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4570436507936508,155,119
br.ufba.jnose.core.testsmelldetector.testsmell.smell.VerboseTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.41598639455782316,117,59
br.ufba.jnose.core.testsmelldetector.testsmell.smell.PrintStatement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3256728778467909,153,44
br.ufba.jnose.core.testsmelldetector.testsmell.smell.EagerTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.23861556064073225,341,138
br.ufba.jnose.core.testsmelldetector.testsmell.smell.ConditionalTestLogic,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.23278265851795263,253,30
br.ufba.jnose.core.testsmelldetector.testsmell.smell.DuplicateAssert,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3341774358137325,364,95
br.ufba.jnose.core.testsmelldetector.testsmell.smell.MagicNumberTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.369160341848698,324,51
br.ufba.jnose.core.testsmelldetector.testsmell.smell.EmptyTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.46041666666666664,73,28
