TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.projectsample.libapachepoi.chart.ExcelChartGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44586623054364993,154,37
com.projectsample.libapachepoi.chart.util.ExcelColumn,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.981034024455077,332,327
com.projectsample.libapachepoi.playground.customsamples.LineChart,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.775307794057794,176,167
com.projectsample.libapachepoi.playground.customsamples.BarAndLineChart,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8523088023088023,167,162
com.projectsample.libapachepoi.playground.customsamples.BarMultiCustomChart,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44751687471104945,262,54
com.projectsample.libapachepoi.playground.customsamples.PieChart,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8551493710691824,108,104
com.projectsample.libapachepoi.playground.customsamples.ScatterChart,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7477453102453102,187,175
com.projectsample.libapachepoi.playground.customsamples.SimpleExcelDemo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9247481921487604,179,178
com.projectsample.libapachepoi.playground.temp.CustomCellReferenceSourceExample,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40410146989094353,172,14
com.projectsample.libapachepoi.playground.temp.CreateXSSFColor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8602941176470589,30,28
com.projectsample.libapachepoi.playground.temp.ChartIndexInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9854622695852534,418,413
