TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.amazonaws.datastreamvectorization.constants.CommonConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,3,0
com.amazonaws.datastreamvectorization.datasource.DataSourceFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.32239579084754055,122,21
com.amazonaws.datastreamvectorization.datasource.JSONObjectDeserializationSchema,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.859375,46,42
com.amazonaws.datastreamvectorization.embedding.preprocessor.JSONPreprocessor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7317210144927536,136,95
com.amazonaws.datastreamvectorization.embedding.preprocessor.StringChunkingInputMapFunction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,12,11
com.amazonaws.datastreamvectorization.embedding.preprocessor.JSONChunkingInputFlatMapFunction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4642045454545454,53,14
com.amazonaws.datastreamvectorization.embedding.generator.BedrockEmbeddingGeneratorStringInputImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.838474025974026,41,37
com.amazonaws.datastreamvectorization.embedding.generator.BedrockEmbeddingGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1732323949663381,303,240
com.amazonaws.datastreamvectorization.utils.DataSourceValidationUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7675551598938696,142,99
com.amazonaws.datastreamvectorization.utils.PropertiesUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5286644806806097,410,190
com.amazonaws.datastreamvectorization.utils.DataSinkValidationUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8665780141843972,125,107
com.amazonaws.datastreamvectorization.datasink.DataSinkFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6934523809523809,32,28
