TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.github.bhlangonijr.chesslib.Bitboard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9225603966252607,1099,1092
com.github.bhlangonijr.chesslib.MoveBackup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9176177536231884,366,360
com.github.bhlangonijr.chesslib.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8078703321308444,3858,3166
com.github.bhlangonijr.chesslib.Square,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839609343536046,276,266
com.github.bhlangonijr.chesslib.File,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7451923076923077,32,21
com.github.bhlangonijr.chesslib.Side,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270833333333334,34,27
com.github.bhlangonijr.chesslib.Rank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7451923076923077,32,21
com.github.bhlangonijr.chesslib.Constants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8,18,15
com.github.bhlangonijr.chesslib.Piece,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8278356481481481,115,97
com.github.bhlangonijr.chesslib.CastleRight,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14
com.github.bhlangonijr.chesslib.PieceType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,61,51
com.github.bhlangonijr.chesslib.BoardEventType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14
com.github.bhlangonijr.chesslib.unicode.UnicodePrinter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9278846153846154,61,60
com.github.bhlangonijr.chesslib.util.StringUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8874426605504587,363,358
com.github.bhlangonijr.chesslib.util.LargeFile,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.735079365079365,63,55
com.github.bhlangonijr.chesslib.util.XorShiftRandom,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,68,68
com.github.bhlangonijr.chesslib.move.MoveGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8265269854129222,713,692
