TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.bslota.optimisticapi.holding.infrastructure.rest.ETagConverter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,12,12
com.bslota.optimisticapi.holding.application.BookPlacedOnHold,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.bslota.optimisticapi.holding.application.PlaceOnHoldCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,48,46
com.bslota.optimisticapi.holding.application.BookConflictIdentified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,14,13
com.bslota.optimisticapi.holding.application.PlacingOnHold,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7791666666666667,35,28
com.bslota.optimisticapi.holding.application.BookNotFound,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
com.bslota.optimisticapi.holding.aggregate.StaleStateIdentified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333333,9,7
com.bslota.optimisticapi.holding.aggregate.Version,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428572,23,22
com.bslota.optimisticapi.holding.domain.ISBN,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428572,51,50
com.bslota.optimisticapi.holding.domain.BookId,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839285714285714,63,58
com.bslota.optimisticapi.holding.domain.AvailableBook,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9910714285714286,55,54
com.bslota.optimisticapi.holding.domain.Author,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428572,51,50
com.bslota.optimisticapi.holding.domain.PlacedOnHoldBook,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9921875,63,62
com.bslota.optimisticapi.holding.domain.Title,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428572,51,50
com.bslota.optimisticapi.holding.domain.BookFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,12,11
com.bslota.optimisticapi.holding.domain.PatronId,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839285714285714,63,58
com.bslota.optimisticapi.holding.query.BookView,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8805154713707346,133,124
com.bslota.optimisticapi.holding.query.FindingBook,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,14,14
