TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
jvmscompare.JavaInformation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,85,85
jvmscompare.Environment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
jvmscompare.benchmark.generated.PersonFilterOnly_filter_JDK_Stream_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45842564080015263,683,350
jvmscompare.benchmark.generated.IntListFilter_filter_EC_Boxed_Eager_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5253324710088505,685,410
jvmscompare.benchmark.generated.PersonFilterAndGroup_jmhType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
jvmscompare.benchmark.generated.PersonFilterAndGroup_filterAndGroupByAge_JDK_Stream_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5684387063283025,683,443
jvmscompare.benchmark.generated.IntListSum_sum_EC_Primitive_Stream_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.44015424871763764,685,355
jvmscompare.benchmark.generated.PersonFilterOnly_jmhType_B2,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
jvmscompare.benchmark.generated.PersonFilterOnly_filter_EC_Lazy_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45774939934290243,683,361
jvmscompare.benchmark.generated.IntListTransform_transform_JDK_Boxed_Stream_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.400109396700489,685,308
jvmscompare.benchmark.generated.IntListTransform_jmhType_B2,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
jvmscompare.benchmark.generated.PersonIntSummaryStats_intSummaryStatistics_EC_Eager_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.39088277101885527,683,307
jvmscompare.benchmark.generated.IntListSum_sum_JDK_Boxed_Stream_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2544112681955444,685,128
jvmscompare.benchmark.generated.PersonCombinedSummaryStats_combinedStatistics_EC_Stream_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4689735844586591,683,370
jvmscompare.benchmark.generated.IntListSum_jmhType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
jvmscompare.benchmark.generated.PersonIntSummaryStats_intSummaryStatistics_JDK_Stream_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3184025600289867,683,163
jvmscompare.benchmark.generated.PersonFilterOnly_filter_EC_Lazy_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.42650310939266767,683,309
jvmscompare.benchmark.generated.PersonFilterOnly_jmhType_B3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
jvmscompare.benchmark.generated.PersonFilterAndGroup_filterAndGroupByAge_EC_Lazy_Parallel_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4075168356665284,683,290
jvmscompare.benchmark.generated.PersonIntSummaryStats_intSummaryStatistics_EC_Lazy_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4224784798869797,683,339
jvmscompare.benchmark.generated.IntListTransform_transform_EC_Primitive_Eager_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.43338803266803394,685,354
jvmscompare.benchmark.generated.PersonFilterOnly_filter_EC_Eager_Serial_jmhTest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4974787609006222,683,398
jvmscompare.benchmark.generated.PersonFilterAndGroup_jmhType_B3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
