TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.automation.xmldoclet.Parser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.12887931034482758,772,9
com.automation.xmldoclet.XmlDoclet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7326403326403327,128,93
com.automation.xmldoclet.util.DocletOption,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8819444444444444,88,79
com.automation.xmldoclet.xjc.TagInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,39,39
com.automation.xmldoclet.xjc.Interface,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9550000000000001,265,247
com.automation.xmldoclet.xjc.Root,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18
com.automation.xmldoclet.xjc.TypeParameter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,36,33
com.automation.xmldoclet.xjc.Annotation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96484375,169,160
com.automation.xmldoclet.xjc.EnumConstant,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,75,69
com.automation.xmldoclet.xjc.Wildcard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,41,35
com.automation.xmldoclet.xjc.TypeInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9732142857142857,69,66
com.automation.xmldoclet.xjc.ObjectFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9315476190476191,180,134
com.automation.xmldoclet.xjc.AnnotationElement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,76,76
com.automation.xmldoclet.xjc.Field,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9797297297297297,286,280
com.automation.xmldoclet.xjc.MethodParameter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9659090909090909,50,47
com.automation.xmldoclet.xjc.Constructor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9705882352941176,418,406
com.automation.xmldoclet.xjc.AnnotationArgument,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9642857142857143,116,110
com.automation.xmldoclet.xjc.Class,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9613970588235294,509,488
com.automation.xmldoclet.xjc.Method,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9727272727272728,488,476
com.automation.xmldoclet.xjc.AnnotationInstance,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,55,52
com.automation.xmldoclet.xjc.Package,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9479166666666667,159,144
com.automation.xmldoclet.xjc.Enum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9625,211,199
