TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
codeit.gatcha.GatchaApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,11
codeit.gatcha.common.user.service.UserSessionService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.675,16,9
codeit.gatcha.api.response.APIResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9772727272727273,59,57
codeit.gatcha.api.security.service.CustomUserDetailsService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,22,14
codeit.gatcha.api.security.service.CustomUserDetails,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8090277777777778,119,116
codeit.gatcha.api.security.service.ConfirmationTokenService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,12,12
codeit.gatcha.api.service.question.API_QuestionFetchService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5619047619047619,44,23
codeit.gatcha.domain.user.service.signUp.UserService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,12,12
codeit.gatcha.domain.question.service.QuestionDeletionService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7901785714285714,19,15
codeit.gatcha.domain.question.service.QuestionUpdateService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8214285714285714,15,12
codeit.gatcha.domain.publication.service.PublicationService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
