TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.codeworth.panelmatic.PanelMatic,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.719628740824393,131,102
io.codeworth.panelmatic.BuilderPool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,42,42
io.codeworth.panelmatic.componentbehavior.BehaviorBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.953125,113,104
io.codeworth.panelmatic.componentbehavior.ComponentBehavior,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9078533507928033,399,389
io.codeworth.panelmatic.componentbehavior.Modifiers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
io.codeworth.panelmatic.util.Groupings,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8852886977886978,194,174
io.codeworth.panelmatic.util.PanelPostProcessors,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6190913865546219,99,42
io.codeworth.panelmatic.util.customizers.ColorOnFocusCustomizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7585396374458875,112,78
io.codeworth.panelmatic.util.customizers.AutoScrollPaneCustomizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,26,26
io.codeworth.panelmatic.util.customizers.ChangeDetectorCustomizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7518016922439,194,152
io.codeworth.panelmatic.impl.AbstractPanelBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8642167595923465,319,292
io.codeworth.panelmatic.impl.FlexibleSpaceComp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,25,25
io.codeworth.panelmatic.impl.DefaultComponentFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.878921568627451,223,197
io.codeworth.panelmatic.impl.gridbagpanelbuilder.GbPanelBuilderFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,75,74
