TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.creativityfactory.swiftserver.response.HttpResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8312747035573123,208,176
com.creativityfactory.swiftserver.request.HttpRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8979430379746836,246,228
com.creativityfactory.swiftserver.error.ErrorMessageBuilderImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9453125,67,60
com.creativityfactory.swiftserver.error.ErrorResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,80,80
com.creativityfactory.swiftserver.persistence.DefaultDataSource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9,67,66
com.creativityfactory.swiftserver.persistence.SingletonDataSource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2963643790849673,51,14
com.creativityfactory.swiftserver.persistence.DefaultPersistence,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7230318034471853,259,136
com.creativityfactory.swiftserver.utils.IdUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7305340492840493,314,221
com.creativityfactory.swiftserver.utils.RouteUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8842693565976009,262,247
com.creativityfactory.swiftserver.middleware.IdConverter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.793939393939394,31,26
com.creativityfactory.swiftserver.middleware.SetDataSource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8642676767676768,28,23
com.creativityfactory.swiftserver.middleware.ReceivedDataValidation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.342603995621237,102,11
com.creativityfactory.swiftserver.middleware.ObjectMapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.41904761904761906,107,28
com.creativityfactory.swiftserver.middleware.UpdateCacheableResource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.859375,35,34
com.creativityfactory.swiftserver.middleware.CacheResource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3964095744680851,81,21
com.creativityfactory.swiftserver.middleware.ContentTypeValidation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270833333333333,32,32
com.creativityfactory.swiftserver.middleware.rest.GetById,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,40,40
com.creativityfactory.swiftserver.middleware.rest.Get,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7070559271646228,58,36
com.creativityfactory.swiftserver.middleware.rest.Update,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4482230392156863,51,24
com.creativityfactory.swiftserver.middleware.rest.Delete,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7017156862745098,55,36
com.creativityfactory.swiftserver.middleware.rest.Post,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4483695652173913,48,23
