TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.scaleguard.server.db.FileStorage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2514050855311426,262,59
com.scaleguard.server.db.ApplicationEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,79,79
com.scaleguard.server.db.TargetSystemDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.49910153728803613,75,26
com.scaleguard.server.db.SystemProperty,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,93,93
com.scaleguard.server.db.SourceSystemDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.524264705882353,75,31
com.scaleguard.server.db.ConnectionUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4841002747252747,105,39
com.scaleguard.server.db.DNSEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,123,123
com.scaleguard.server.db.ApplicationEntriesDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.51578164160401,80,31
com.scaleguard.server.db.AsyncEngineEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
com.scaleguard.server.db.SystemPropertyDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.524264705882353,75,31
com.scaleguard.server.db.HostGroupsDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.524264705882353,75,31
com.scaleguard.server.db.ClientInfoEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,137,137
com.scaleguard.server.db.ClientInfoEntriesDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.51578164160401,80,31
com.scaleguard.server.db.DBManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3019992762039422,382,133
com.scaleguard.server.db.CertificateOrdersDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5696314102564103,74,36
com.scaleguard.server.db.DNSEntriesDB,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.51578164160401,80,31
com.scaleguard.server.http.auth.AuthUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5300344462109168,144,69
com.scaleguard.server.http.auth.AuthInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9861111111111112,39,38
com.scaleguard.server.http.reverse.HttpProxyServerHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.34765625,95,11
com.scaleguard.server.http.reverse.ChallengeVerifiers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7502114233671611,99,82
com.scaleguard.server.http.reverse.TCPProxyBackendHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7916666666666666,48,43
com.scaleguard.server.http.reverse.NettyHttpWSProxy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6860007496251874,64,35
com.scaleguard.server.http.reverse.TCPChannelFrontendHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6123873873873874,91,50
com.scaleguard.server.http.reverse.ServerInitializer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8357606132075472,77,62
com.scaleguard.server.http.reverse.ScaleGuardSSLContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9147727272727273,30,25
com.scaleguard.server.http.reverse.ScaleGuardKeyManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.42175306577480487,111,54
com.scaleguard.server.http.reverse.DnsTxtLookup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5993303571428571,68,40
com.scaleguard.server.http.reverse.ScaleguardWebsocketHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2587719298245614,122,24
com.scaleguard.server.http.reverse.SSLServerInitializer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8166666666666667,45,33
com.scaleguard.server.http.reverse.HttpStaticFileServerHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.36856052452193877,503,29
com.scaleguard.server.http.reverse.CertUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.808531746031746,43,35
com.scaleguard.server.http.reverse.RequestRoutingContexts,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
com.scaleguard.server.http.reverse.SecureProxyInitializer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8279761904761904,45,37
com.scaleguard.server.http.reverse.RequestRoutingResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9705882352941176,111,107
com.scaleguard.server.http.reverse.EventSubscriber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8232142857142857,40,0
com.scaleguard.server.http.async.EmbeddedAsyncFlowDriver,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8645833333333333,24,23
com.scaleguard.server.http.async.ProxySubscriber,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9236111111111112,49,49
com.scaleguard.server.http.async.OutboundDispatchUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6189064834372263,201,146
com.scaleguard.server.http.client.HttpClientHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7083333333333333,29,20
com.scaleguard.server.http.router.BestHostSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8622474747474748,40,37
com.scaleguard.server.http.router.RouteTable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13774250661539988,448,30
com.scaleguard.server.http.router.HostGroupWatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5179901960784313,133,73
com.scaleguard.server.http.router.RouteTarget,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9947916666666667,112,111
com.scaleguard.server.http.router.IPBlockingManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9278846153846154,35,35
com.scaleguard.server.http.router.HostGroup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,177,177
com.scaleguard.server.http.router.RequestRouter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.scaleguard.server.http.router.LocalSystemLoader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8875,61,47
com.scaleguard.server.http.router.RateLimitManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7570390436876505,333,313
com.scaleguard.server.http.router.SourceSystem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.993421052631579,292,290
com.scaleguard.server.http.utils.AppProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,9,8
com.scaleguard.server.http.cache.CachedResource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,109,109
com.scaleguard.server.http.cache.InMemoryCacheLooker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8052083333333333,86,81
com.scaleguard.server.http.cache.CachedResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,64,64
com.scaleguard.server.http.cache.ChecksumKey,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8244949494949495,49,42
com.scaleguard.server.http.cache.ProxyResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,85,85
com.scaleguard.server.http.cache.ProxyRequest,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9962121212121212,148,147
com.scaleguard.server.http.cache.CacheManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,46,46
