GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flap-bird,default,TrainBirds,3,7,0,0,1,2,0,2,0,2
flap-bird,default,Entry,8,6,0,0,3,3,1,2,1,2
flap-bird,default,TestXOR,89,192,4,6,9,21,3,5,0,3
flap-bird,presentation,Window,23,0,0,0,8,0,1,0,1,0
flap-bird,presentation,Display,47,31,1,1,22,8,11,1,10,1
flap-bird,nn,Constants,0,44,0,0,0,21,0,2,0,2
flap-bird,game,GameNN,338,109,18,2,54,29,11,7,1,7
flap-bird,game,BottomPanel,141,2,12,0,22,1,9,1,3,1
flap-bird,game,PipesController,153,30,13,1,29,7,14,1,7,1
flap-bird,game,Bird,186,11,6,0,37,2,12,1,9,1
flap-bird,game,CollisionDetector,43,6,10,0,7,3,6,1,1,1
flap-bird,game,Pipe,72,60,0,0,19,15,8,3,8,3
flap-bird,game,Game,236,30,4,0,45,13,5,5,3,5
flap-bird,nn.actions,GenomeDiff,0,243,2,10,0,50,2,15,0,11
flap-bird,nn.actions,ConnectionPair,0,15,0,0,0,6,0,3,0,3
flap-bird,nn.actions,Mating,6,257,2,12,0,50,2,12,0,7
flap-bird,utils,Vector,0,427,0,18,0,55,0,36,0,27
flap-bird,nn.neural,AnnType,0,34,0,0,0,2,0,1,0,1
flap-bird,nn.neural,NodeProxier,4,48,1,3,1,10,1,7,0,5
flap-bird,nn.neural,AnnNode,0,117,0,6,0,29,0,14,0,11
flap-bird,nn.neural,NeuralNetwork,8,199,1,15,1,41,2,13,1,5
flap-bird,nn.neural,AnnConnection,0,23,0,0,0,10,0,6,0,6
flap-bird,nn.model,NodeInnovator,0,8,0,0,0,4,0,2,0,2
flap-bird,nn.model,Population,258,617,28,34,54,109,28,22,8,11
flap-bird,nn.model,Type,0,34,0,0,0,2,0,1,0,1
flap-bird,nn.model,ConnectionInnovator,0,8,0,0,0,4,0,2,0,2
flap-bird,nn.model,Node,45,93,11,5,7,21,11,10,3,10
flap-bird,nn.model,Innovator,0,17,0,0,0,5,0,2,0,2
flap-bird,nn.model,Genome,75,339,15,13,13,67,16,20,5,17
flap-bird,nn.model,Specieses,67,32,8,0,11,12,6,5,2,5
flap-bird,nn.model,Species,7,94,1,1,2,27,1,10,0,10
flap-bird,nn.model,FitnessGenome,19,21,0,0,4,7,3,4,3,4
flap-bird,nn.model,Connection,37,83,12,0,4,19,7,11,1,11
