TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.sunrise.javbusbot.tgbot.SenderChat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,61,61
com.sunrise.javbusbot.tgbot.TgBotMessageSendResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,40,40
com.sunrise.javbusbot.tgbot.Chat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,61,61
com.sunrise.javbusbot.tgbot.TgBotTokenResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,45,45
com.sunrise.javbusbot.tgbot.TgBotHelper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3417269421355499,158,10
com.sunrise.javbusbot.tgbot.Result,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,121,121
com.sunrise.javbusbot.tgbot.SendResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,85,85
com.sunrise.javbusbot.spider.JavbusStarInfoItem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270833333333334,276,273
com.sunrise.javbusbot.spider.JobExcutor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8852536082987759,145,125
com.sunrise.javbusbot.spider.SpiderJob,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5256944444444445,59,29
com.sunrise.javbusbot.spider.MagnentItem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,124,120
com.sunrise.javbusbot.spider.JavbusDataItem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8963833619365351,730,692
com.sunrise.javbusbot.spider.MsgVideoUrl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,27,25
com.sunrise.javbusbot.spider.RetryInterceptor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.32,74,52
com.sunrise.javbusbot.spider.DelaySampleImgPush,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9385964912280702,112,111
com.sunrise.javbusbot.spider.JavbusStarUrlItem,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,46,44
com.sunrise.javbusbot.spider.DataPair,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,114,112
