TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.getindata.connectors.http.HttpSinkBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,119,114
com.getindata.connectors.http.HttpPostRequestCallback,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,10,0
com.getindata.connectors.http.LookupArg,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9702844813138931,190,185
com.getindata.connectors.http.internal.BasicAuthHeaderValuePreprocessor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8875,46,45
com.getindata.connectors.http.internal.OIDCAuthHeaderValuePreprocessor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,29,28
com.getindata.connectors.http.internal.HttpLoggingLevelType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9285714285714286,19,15
com.getindata.connectors.http.internal.auth.OidcAccessTokenManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4285947529482012,110,38
com.getindata.connectors.http.internal.table.SerializationSchemaElementConverter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,37,37
com.getindata.connectors.http.internal.table.sink.HttpDynamicSinkConnectorOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.getindata.connectors.http.internal.table.sink.Slf4jHttpPostRequestCallbackFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9191176470588236,43,32
com.getindata.connectors.http.internal.table.sink.HttpDynamicTableSinkFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5615138577425105,81,31
com.getindata.connectors.http.internal.table.lookup.JavaNetHttpPollingClientFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7625,15,15
com.getindata.connectors.http.internal.table.lookup.HttpLookupTableSourceFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5963101415510608,249,174
com.getindata.connectors.http.internal.table.lookup.RowDataSingleValueLookupSchemaEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7996031746031746,46,35
com.getindata.connectors.http.internal.table.lookup.RowTypeLookupSchemaEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6834415584415584,51,30
com.getindata.connectors.http.internal.table.lookup.RowDataLookupSchemaEntryBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4125,16,7
com.getindata.connectors.http.internal.table.lookup.RequestFactoryBase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5874891718641719,125,91
com.getindata.connectors.http.internal.table.lookup.GetRequestFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8105811403508771,57,55
com.getindata.connectors.http.internal.table.lookup.TableSourceHelper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8546875,52,51
com.getindata.connectors.http.internal.table.lookup.LookupRow,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8625,60,53
com.getindata.connectors.http.internal.table.lookup.HttpLookupConnectorOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.getindata.connectors.http.internal.table.lookup.Slf4jHttpLookupPostRequestCallbackFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9191176470588236,43,32
com.getindata.connectors.http.internal.table.lookup.LookupQueryInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8921703296703297,129,123
com.getindata.connectors.http.internal.table.lookup.querycreators.ElasticSearchLiteQueryCreator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8583333333333334,33,31
