TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.github.hannotify.elevencrazyjavathings.number5.Number5CrazyStuffInSwitchStatements,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,43,41
com.github.hannotify.elevencrazyjavathings.number11.Number11DeclareAndInitializeArrays,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8888888888888888,31,23
com.github.hannotify.elevencrazyjavathings.number3.Number3WrapperObjects,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,19,19
com.github.hannotify.elevencrazyjavathings.number10.Talk,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,11,11
com.github.hannotify.elevencrazyjavathings.number10.Number10StreamElementsShouldImplementComparable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,63,57
com.github.hannotify.elevencrazyjavathings.number4.Number4EqualityInClonedArraysOrImmutableCollections,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,54,50
com.github.hannotify.elevencrazyjavathings.number1.Number1PassingArgumentsToMethodReferences,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.github.hannotify.elevencrazyjavathings.number1.Venue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,54,54
com.github.hannotify.elevencrazyjavathings.number2.LightningSpeaker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,7,0
com.github.hannotify.elevencrazyjavathings.number2.Number2FunctionalInterfaces,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.github.hannotify.elevencrazyjavathings.number2.Badge,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,7,0
com.github.hannotify.elevencrazyjavathings.number2.Venue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,5,0
com.github.hannotify.elevencrazyjavathings.number9.Conference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,14,12
com.github.hannotify.elevencrazyjavathings.number9.Event,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9027777777777778,23,16
com.github.hannotify.elevencrazyjavathings.number9.Number9AccessingStaticInterfaceMethods,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.github.hannotify.elevencrazyjavathings.number9.Meetup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,14,12
com.github.hannotify.elevencrazyjavathings.number9.Talk,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,11,11
com.github.hannotify.elevencrazyjavathings.number9.Slot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,16,14
com.github.hannotify.elevencrazyjavathings.number8.Conference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7958245798319328,36,21
com.github.hannotify.elevencrazyjavathings.number8.Number8AnonymousSubclassInEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,29,23
