TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
net.jaggerwang.sbip.adapter.dao.FileDaoImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8375,37,34
net.jaggerwang.sbip.adapter.api.Application,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
net.jaggerwang.sbip.adapter.api.security.LoggedUser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,16,16
net.jaggerwang.sbip.adapter.service.LocalStorageServiceImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5112847222222222,38,17
net.jaggerwang.sbip.util.encoder.DigestEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8666666666666667,19,14
net.jaggerwang.sbip.util.encoder.PasswordEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7916666666666667,23,20
net.jaggerwang.sbip.util.generator.IdGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,21,17
net.jaggerwang.sbip.usecase.MetricUsecase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7291666666666666,23,19
net.jaggerwang.sbip.usecase.StatUsecase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8160714285714286,40,37
net.jaggerwang.sbip.usecase.FileUsecase,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6797794117647059,51,34
