TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.github.juliengalet.reactorflow.report.FlowContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,95,87
io.github.juliengalet.reactorflow.report.Report,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.85546875,103,84
io.github.juliengalet.reactorflow.report.Metadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8701923076923077,78,68
io.github.juliengalet.reactorflow.utils.LoggerUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8458333333333333,30,28
io.github.juliengalet.reactorflow.utils.ConsoleStyle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.828125,16,8
io.github.juliengalet.reactorflow.builder.RecoverableFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.37215909090909094,74,19
io.github.juliengalet.reactorflow.builder.SequentialFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40911654135338343,63,20
io.github.juliengalet.reactorflow.builder.SwitchFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3674301242236025,80,20
io.github.juliengalet.reactorflow.builder.ParallelFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.43823529411764706,108,38
io.github.juliengalet.reactorflow.builder.ConditionalFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.37215909090909094,74,19
io.github.juliengalet.reactorflow.builder.StepFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5234375,64,31
io.github.juliengalet.reactorflow.builder.RetryableFlowBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40576252052545153,95,28
