TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
icu.samnyan.aqua.AquaServerApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7857142857142857,15,9
icu.samnyan.aqua.sega.billing.util.Decoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8854166666666666,37,36
icu.samnyan.aqua.sega.billing.util.RawCompression,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8895833333333334,53,52
icu.samnyan.aqua.sega.diva.handler.user.StartHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.21011363636363636,273,16
icu.samnyan.aqua.sega.diva.handler.user.EndHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.22388763197586728,108,14
icu.samnyan.aqua.sega.diva.controller.DivaControllerAdvice,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
icu.samnyan.aqua.sega.diva.util.DivaDateTimeUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,23,21
icu.samnyan.aqua.sega.diva.util.DivaCalculator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9017857142857143,95,94
icu.samnyan.aqua.sega.diva.service.PlayerProfileService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8271067415730338,206,206
icu.samnyan.aqua.sega.util.VersionUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8476499385317878,134,119
icu.samnyan.aqua.sega.util.Compression,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.47223128300714506,96,48
icu.samnyan.aqua.sega.util.AquaConst,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
icu.samnyan.aqua.sega.util.VersionInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9798205003248863,297,292
icu.samnyan.aqua.sega.util.ByteBufUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8927845528455285,129,129
icu.samnyan.aqua.sega.util.URIEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,15,15
