TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.kv.webflux.logging.provider.HttpStatusProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,26,24
com.kv.webflux.logging.provider.TimeElapsedProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9088541666666666,57,53
com.kv.webflux.logging.provider.ReqIdProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,52,52
com.kv.webflux.logging.client.LoggingProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.868421052631579,163,162
com.kv.webflux.logging.client.LoggingUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
com.kv.webflux.logging.client.response.message.ResponseData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,33,32
com.kv.webflux.logging.client.response.message.formatter.CookieClientResponseFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,14,13
com.kv.webflux.logging.client.response.filter.ClientResponseLoggingFilterFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,23,21
com.kv.webflux.logging.client.request.message.formatter.CookieClientRequestFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,14,13
com.kv.webflux.logging.client.request.message.formatter.HeaderClientRequestFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,14,13
com.kv.webflux.logging.client.request.message.formatter.ReqIdClientRequestFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,14,14
com.kv.webflux.logging.client.request.filter.ClientRequestLoggingFilterFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,23,21
com.kv.webflux.logging.server.ServerLoggingFilterFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,25,23
com.kv.webflux.logging.server.message.formatter.ReqIdServerFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,14,14
com.kv.webflux.logging.server.message.formatter.response.HeaderServerResponseFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,14,13
com.kv.webflux.logging.server.message.formatter.response.CookieServerResponseFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,14,13
com.kv.webflux.logging.server.message.formatter.request.HeaderServerRequestFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,14,13
com.kv.webflux.logging.server.message.formatter.request.CookieServerRequestFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,14,13
