TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
kyungseo.poc.simple.web.site.common.base.service.AbstractService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,88,0
kyungseo.poc.simple.web.site.common.service.CommonService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8263888888888888,33,19
kyungseo.poc.simple.web.site.common.web.controller.CommonController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
kyungseo.poc.simple.web.security.service.JwtUserDeviceService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5282051282051282,44,30
kyungseo.poc.simple.web.security.components.ActiveUserStore,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,25,24
kyungseo.poc.simple.web.security.components.LoginAttemptService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5555555555555556,58,38
kyungseo.poc.simple.web.security.components.UserDetailsServiceImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.23543906810035842,86,12
kyungseo.poc.simple.web.security.components.UserSecurityService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2729166666666667,45,11
kyungseo.poc.simple.web.security.components.AuthenticationFailureListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.85,14,12
kyungseo.poc.simple.web.security.components.location.DifferentLocationLoginListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.784577723378213,70,48
kyungseo.poc.simple.web.security.components.location.OnDifferentLocationLoginEvent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9903846153846154,55,55
kyungseo.poc.simple.web.security.components.location.DifferentLocationChecker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4875,23,11
kyungseo.poc.simple.web.security.captcha.CaptchaSettings,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,78,78
kyungseo.poc.simple.web.security.captcha.ReCaptchaAttemptService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,60,57
kyungseo.poc.simple.web.security.event.OnRegistrationCompleteEvent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.984375,32,32
kyungseo.poc.simple.web.security.event.listener.RegistrationListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5953947368421053,50,13
kyungseo.poc.simple.web.appcore.formatter.NameFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,26,26
kyungseo.poc.simple.web.appcore.formatter.LocalDateTimeFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8625,22,22
kyungseo.poc.simple.web.appcore.formatter.LocalDateFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8625,22,22
kyungseo.poc.simple.web.appcore.util.StringUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5911025774202452,3231,3088
kyungseo.poc.simple.web.appcore.util.JodaTimeUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9302995391705069,299,295
kyungseo.poc.simple.web.appcore.util.JsonUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,79,77
kyungseo.poc.simple.web.appcore.util.RandomUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9008680555555556,440,433
