GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NB Java Decompiler,io.github.moacirrf.javadecompiler.validator,FileValidator,64,0,10,0,12,0,9,0,4,0
NB Java Decompiler,io.github.moacirrf.javadecompiler,Installer,7,0,0,0,3,0,2,0,2,0
NB Java Decompiler,io.github.moacirrf.javadecompiler,DecompileAction,91,0,8,0,22,0,8,0,4,0
NB Java Decompiler,io.github.moacirrf.javadecompiler,DecompilerFactory,4,0,0,0,1,0,1,0,1,0
NB Java Decompiler,io.github.moacirrf.javadecompiler,ExceptionHandler,7,0,0,0,2,0,1,0,1,0
NB Java Decompiler,io.github.moacirrf.javadecompiler,Bundle,4,0,0,0,1,0,1,0,1,0
NB Java Decompiler,io.github.moacirrf.javadecompiler.cfr,DecompilerClassImpl,55,0,0,0,10,0,3,0,3,0
NB Java Decompiler,io.github.moacirrf.javadecompiler.cfr,PluginDumperFactory,62,0,2,0,13,0,8,0,7,0
NB Java Decompiler,io.github.moacirrf.javadecompiler.cfr,PluginDumperFactory.new ExceptionDumper() {...},9,0,0,0,3,0,2,0,2,0
NB Java Decompiler,io.github.moacirrf.javadecompiler.cfr,NetbeansClassFileSourceImpl,28,0,2,0,11,0,7,0,6,0
NB Java Decompiler,io.github.moacirrf.javadecompiler.files,TempDir,3,69,2,6,1,18,3,9,1,7
NB Java Decompiler,io.github.moacirrf.javadecompiler.files,FileSystemHelper,39,62,7,5,9,15,6,6,1,5
