TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.github.moacirrf.netbeans.markdown.Context,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
io.github.moacirrf.netbeans.markdown.Bundle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.65625,28,18
io.github.moacirrf.netbeans.markdown.TempDir,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2797164351851852,99,14
io.github.moacirrf.netbeans.markdown.Icons,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9097222222222222,65,56
io.github.moacirrf.netbeans.markdown.export.HtmlExporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.492318194459661,190,42
io.github.moacirrf.netbeans.markdown.export.Exporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.828125,35,29
io.github.moacirrf.netbeans.markdown.ui.SplitPanel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9318181818181819,48,42
io.github.moacirrf.netbeans.markdown.ui.MouseListenerBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6354166666666666,32,8
io.github.moacirrf.netbeans.markdown.ui.TopBar,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18967391304347825,192,4
io.github.moacirrf.netbeans.markdown.ui.export.OrderTableButtons,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.30785415079969536,139,31
io.github.moacirrf.netbeans.markdown.ui.export.ExportPane,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.08590871021775544,325,27
io.github.moacirrf.netbeans.markdown.ui.export.MyOrderTableCellEditor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8379310344827586,55,32
