TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.codefx.demo.effective_java._50_defensive_copies.Megacorp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8740468409586056,115,109
org.codefx.demo.effective_java._50_defensive_copies.Subsidiary,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9772727272727273,76,74
org.codefx.demo.effective_java._02_builder_pattern.RefactorToBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,20,20
org.codefx.demo.effective_java._02_builder_pattern.Main,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,44,44
org.codefx.demo.effective_java._02_builder_pattern.SelfTypes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.775,66,64
org.codefx.demo.effective_java._02_builder_pattern.TowardsDsl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7608695652173914,139,139
org.codefx.demo.effective_java._02_builder_pattern.avoid_optionality.AbstractNutritionFact,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9625,101,98
org.codefx.demo.effective_java._02_builder_pattern.avoid_optionality.Main,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,107,107
org.codefx.demo.effective_java._02_builder_pattern.avoid_optionality.SimpleNutritionFact,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
org.codefx.demo.effective_java._02_builder_pattern.avoid_optionality.NutritionFacts_Primitives,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,125,125
