TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
net.byteseek.demo.treetable.MyObjectForm,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7280230584533863,414,335
net.byteseek.demo.treetable.MyObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9080882352941176,93,90
net.byteseek.utils.collections.BlockModifyArrayList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8826626812264735,1242,1227
net.byteseek.swing.treetable.TableUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7504686908392821,740,678
net.byteseek.swing.treetable.TreeTableHeaderRenderer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7895872969903793,936,807
net.byteseek.swing.treetable.TreeTableColumnSortStrategy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.878782857148276,417,414
net.byteseek.swing.treetable.TreeCellRenderer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8189086862621154,636,542
net.byteseek.swing.treetable.Comparators,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
net.byteseek.swing.treetable.TreeTableRowSorter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7239190153180344,1443,1134
net.byteseek.swing.treetable.TreeNodeComparator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.539382582023711,201,61
