TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.nlpub.watset.eval.Pairwise,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8805871212121212,216,204
org.nlpub.watset.eval.NormalizedModifiedPurity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8932592544222425,185,180
org.nlpub.watset.eval.Sampling,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8229166666666666,26,21
org.nlpub.watset.eval.PrecisionRecall,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9833333333333334,118,116
org.nlpub.watset.eval.Measurer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15634796238244514,143,6
org.nlpub.watset.graph.SenseInduction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,53,0
org.nlpub.watset.graph.NodeWeightings,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7032524350173092,126,113
org.nlpub.watset.graph.ComponentsClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7541666666666667,33,32
org.nlpub.watset.graph.WatsetClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.42928693216417,86,35
org.nlpub.watset.graph.SingletonClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7541666666666667,37,36
org.nlpub.watset.graph.EmptyClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8166666666666667,32,28
org.nlpub.watset.graph.MaxMaxClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,18,18
org.nlpub.watset.graph.ChineseWhispers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6386587301587301,278,255
org.nlpub.watset.graph.SpectralClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5706597222222223,84,67
org.nlpub.watset.graph.NodeEmbedding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,14,14
org.nlpub.watset.graph.TogetherClustering,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7541666666666667,34,32
org.nlpub.watset.graph.MarkovClusteringExternal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.30202884335948854,276,110
org.nlpub.watset.graph.Watset,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2283630376715483,171,19
org.nlpub.watset.graph.MaxMax,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4212674317038643,289,183
org.nlpub.watset.util.Neighbors,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.71875,15,13
org.nlpub.watset.util.IndexedSense,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9305555555555556,37,36
org.nlpub.watset.util.NetworkXFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.32196969696969696,59,20
org.nlpub.watset.util.Maximizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8593304843304843,132,126
org.nlpub.watset.util.ILEFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8298611111111112,39,38
org.nlpub.watset.util.ABCFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8072916666666666,21,21
org.nlpub.watset.util.ClusteringAlgorithmProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7304487179487179,169,121
org.nlpub.watset.util.Word2VecFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7800604838709677,90,71
org.nlpub.watset.cli.MarkovClusteringExternalCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6666666666666666,25,22
org.nlpub.watset.cli.WatsetGetter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,12,0
org.nlpub.watset.cli.ProvidedClusteringCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,15,14
org.nlpub.watset.cli.MarkovClusteringCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7708333333333333,40,38
