TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.github.nscuro.bradamsang.radamsa.RadamsaExecutor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5212092731829574,89,55
com.github.nscuro.bradamsang.radamsa.RadamsaOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270833333333334,37,30
com.github.nscuro.bradamsang.wsl.WslSupport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5097449908925319,160,88
com.github.nscuro.bradamsang.wsl.WslCommandExecutor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,22,18
com.github.nscuro.bradamsang.wsl.WslDistribution,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9772727272727273,54,52
com.github.nscuro.bradamsang.intruder.IntruderPayloadGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6658446387708401,69,47
com.github.nscuro.bradamsang.intruder.IntruderAttackOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8920454545454546,81,74
com.github.nscuro.bradamsang.intruder.IntruderPayloadProcessor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6567234848484849,37,22
com.github.nscuro.bradamsang.command.ExecutionResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9642857142857143,39,37
com.github.nscuro.bradamsang.command.CommandExecutor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7,13,7
com.github.nscuro.bradamsang.command.NativeCommandExecutor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.24244505494505494,41,9
burp.BurpExtender,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9196428571428572,19,18
