TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
me.nurio.events.ReflectedEventHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,8,6
me.nurio.events.handler.Event,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,27,19
me.nurio.events.internal.ReflectedEventManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.710365275142315,97,73
me.nurio.events.internal.EventReflectionUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.27321428571428574,43,8
me.nurio.events.internal.EventManagement,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4397893772893773,90,41
me.nurio.events.internal.RegisteredEventHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.14732142857142858,76,8
me.nurio.events.internal.annotations.HandledMethod,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9017857142857143,29,18
me.nurio.events.internal.annotations.AnnotationEventHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10416666666666666,43,3
me.nurio.events.internal.annotations.EventAnnotationHandlersManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6390151515151515,79,52
me.nurio.events.internal.annotations.EventHandlerAnnotationEventHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7580357142857144,43,26
