TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.openapijsonschematools.codegen.templating.SupportingFile,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8854166666666667,105,102
org.openapijsonschematools.codegen.templating.CommonTemplateContentLocator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,40,39
org.openapijsonschematools.codegen.templating.TemplateDefinition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.891858552631579,182,176
org.openapijsonschematools.codegen.templating.DryRunTemplateManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8982142857142857,144,127
org.openapijsonschematools.codegen.templating.TemplateManagerOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,32,32
org.openapijsonschematools.codegen.templating.TemplateFileType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7751602564102564,69,59
org.openapijsonschematools.codegen.templating.mustache.IndentedLambda,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8259063305115937,144,124
org.openapijsonschematools.codegen.templating.mustache.SplitStringLambda,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9103632478632478,170,162
org.openapijsonschematools.codegen.templating.mustache.OnChangeLambda,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9125,28,28
org.openapijsonschematools.codegen.templating.mustache.TitlecaseLambda,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9278846153846154,67,67
org.openapijsonschematools.codegen.templating.mustache.OptionalParameterLambda,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,23,23
org.openapijsonschematools.codegen.templating.mustache.JoinWithCommaLambda,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,24,24
org.openapijsonschematools.codegen.clicommands.ListGenerators,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8326430976430976,174,121
org.openapijsonschematools.codegen.clicommands.Completion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8176515151515151,66,62
org.openapijsonschematools.codegen.clicommands.AuthorTemplate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3451923076923077,88,11
org.openapijsonschematools.codegen.clicommands.Help,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
org.openapijsonschematools.codegen.clicommands.Validate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.35540388404165496,87,12
org.openapijsonschematools.codegen.clicommands.Version,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.80625,24,19
org.openapijsonschematools.codegen.clicommands.common.Constants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
org.openapijsonschematools.codegen.clicommands.common.GlobalOptions,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
org.openapijsonschematools.codegen.clicommands.common.BuildInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8253787878787878,75,55
org.openapijsonschematools.codegen.common.ProcessUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9093211752786221,199,196
org.openapijsonschematools.codegen.common.CodegenConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
org.openapijsonschematools.codegen.common.DryRunStatus,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8386904761904762,123,121
