TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.puzpuzpuz.queue.SpscBoundedQueue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7171593468468469,343,308
io.puzpuzpuz.lock.ThreadYieldCasSpinLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7410714285714286,51,46
io.puzpuzpuz.lock.McsLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5386904761904762,102,62
io.puzpuzpuz.lock.McsSpinLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.627827380952381,95,73
io.puzpuzpuz.lock.BackoffTtasSpinLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5442765567765568,85,52
io.puzpuzpuz.lock.BackoffCasSpinLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7410714285714286,56,51
io.puzpuzpuz.lock.CasSpinLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7410714285714286,50,45
io.puzpuzpuz.lock.TicketSpinLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7410714285714286,84,79
io.puzpuzpuz.atomic.PaddedTuple,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
io.puzpuzpuz.atomic.Tuple,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
io.puzpuzpuz.atomic.AtomicLongTuple,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6652046783625731,202,178
