TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ru.smartup.timetracker.TimetrackerApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
ru.smartup.timetracker.core.DBAuthenticationProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.591025641025641,39,23
ru.smartup.timetracker.core.SessionEmployeePrincipal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9017498704998705,577,554
ru.smartup.timetracker.core.CacheNames,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,20,20
ru.smartup.timetracker.core.notification.EmailNotifierProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,13,13
ru.smartup.timetracker.core.notification.NotifierNames,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
ru.smartup.timetracker.core.lock.LockNames,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333334,15,15
ru.smartup.timetracker.core.lock.ReentrantLockManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8142857142857143,38,34
ru.smartup.timetracker.pojo.SubmittedHoursByProjects,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,49,49
ru.smartup.timetracker.pojo.ProjectOfEmployee,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,54,54
ru.smartup.timetracker.pojo.SubmittedWorkDaysForEmployees,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,118,118
ru.smartup.timetracker.pojo.TrackUnitProjectNumberEmployeesHours,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,39,39
ru.smartup.timetracker.pojo.SubmittedHours,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,22,22
ru.smartup.timetracker.pojo.TrackedProjectTaskForEmployee,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9838541666666667,414,409
ru.smartup.timetracker.pojo.ScheduledFreeze,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,19,19
ru.smartup.timetracker.pojo.ReportHours,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9976851851851852,261,260
ru.smartup.timetracker.pojo.TrackUnitUnsubmittedHours,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,22,22
ru.smartup.timetracker.pojo.TrackUnitProjectTask,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,130,130
ru.smartup.timetracker.pojo.notice.NoticeTask,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722721674876847,199,194
ru.smartup.timetracker.pojo.notice.NoticePersonal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,13,13
ru.smartup.timetracker.pojo.notice.NoticePersonalToken,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,33,33
ru.smartup.timetracker.pojo.notice.NoticeUnfreeze,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20
ru.smartup.timetracker.pojo.notice.NoticeNumberEmployeesHours,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.971995103473762,216,211
ru.smartup.timetracker.pojo.notice.NoticeFreeze,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9601851851851851,130,125
ru.smartup.timetracker.pojo.notice.NoticeProject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722721674876847,199,194
ru.smartup.timetracker.pojo.notice.NoticeTrackUnitReject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9674265474214765,198,193
ru.smartup.timetracker.pojo.notice.ScheduledNotice,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,19,19
ru.smartup.timetracker.pojo.notice.NoticeChanges,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9563548773741471,198,189
ru.smartup.timetracker.pojo.freeze.UnfreezeDateInterval,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9677139037433156,203,198
ru.smartup.timetracker.utils.InitBinderUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5584415584415584,33,10
ru.smartup.timetracker.utils.CommonStringUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9264880952380953,73,61
ru.smartup.timetracker.utils.PageableMaker,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8828125,30,25
ru.smartup.timetracker.utils.DateUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.834450271950272,49,45
ru.smartup.timetracker.utils.CommonUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7291666666666666,21,14
