TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
tudelft.mocks.invoice.BadlyDesignedInvoiceFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.65625,22,9
tudelft.mocks.invoice.SAPInvoiceSender,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8392857142857143,15,12
tudelft.mocks.invoice.DatabaseConnection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3619318181818182,34,11
tudelft.mocks.invoice.InvoiceDao,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7008928571428572,38,24
tudelft.mocks.invoice.Invoice,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8842105263157894,88,86
tudelft.mocks.invoice.InvoiceFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7083333333333333,20,11
tudelft.mocks.invoice.EnvironmentFailure,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
tudelft.mocks.orderdelivery.Book,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,26,26
tudelft.mocks.orderdelivery.OrderDeliveryBatch,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6979166666666666,19,16
tudelft.mocks.christmas.ChristmasDiscountRefactored,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7121428571428572,81,49
tudelft.mocks.christmas.DefaultClock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,19,13
tudelft.mocks.christmas.ChristmasDiscount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7683928571428571,79,46
tudelft.intro.RomanNumeral,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.893560606060606,87,86
tudelft.intro.MinMax,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9346590909090909,87,87
tudelft.smells.innapropriateassertions.Cart,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9027777777777778,31,24
