TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.openRealmOfStars.starMap.Coordinate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9393828664230613,1183,1168
org.openRealmOfStars.starMap.PirateDifficultLevel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9188034188034188,153,142
org.openRealmOfStars.starMap.SunType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8818181818181818,128,128
org.openRealmOfStars.starMap.CulturePower,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9331395348837209,135,135
org.openRealmOfStars.starMap.Route,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6203855388432675,2032,1085
org.openRealmOfStars.starMap.event.karmaEvents.RandomEventUtility,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4320059683296788,2441,290
org.openRealmOfStars.starMap.event.karmaEvents.KarmaType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9296875,165,158
org.openRealmOfStars.starMap.event.karmaEvents.KarmaEvents,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5850642670692535,394,149
org.openRealmOfStars.starMap.event.karmaEvents.RandomEventType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9067428646934461,150,137
org.openRealmOfStars.starMap.newsCorp.GalaxyStat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.908050576184379,648,633
org.openRealmOfStars.starMap.newsCorp.NewsData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9146825396825397,62,61
org.openRealmOfStars.starMap.newsCorp.scoreBoard.Row,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9227187286397813,177,175
org.openRealmOfStars.starMap.newsCorp.scoreBoard.ScoreBoard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9121212121212121,155,152
org.openRealmOfStars.starMap.planet.GameLengthState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8660714285714286,183,180
org.openRealmOfStars.starMap.planet.BombingShip,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,54,54
org.openRealmOfStars.starMap.planet.PlanetNuked,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,97,97
org.openRealmOfStars.starMap.planet.HappinessEffect,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,396,395
org.openRealmOfStars.starMap.planet.status.PlanetaryStatus,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9037779850746268,251,241
org.openRealmOfStars.starMap.planet.status.StatusFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6403195813873033,158,57
org.openRealmOfStars.starMap.planet.status.TimedStatusType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,90,83
org.openRealmOfStars.starMap.planet.status.StatusIds,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8939393939393939,24,18
org.openRealmOfStars.starMap.planet.status.TimedStatus,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4961151856273808,590,158
org.openRealmOfStars.starMap.planet.enums.GravityType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8308226495726496,74,64
org.openRealmOfStars.starMap.planet.enums.WaterLevelType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8432573198198198,190,173
org.openRealmOfStars.starMap.planet.enums.TemperatureType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8468171296296296,143,131
org.openRealmOfStars.starMap.planet.enums.PlanetaryEvent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.377304100459369,916,243
org.openRealmOfStars.starMap.planet.enums.RadiationType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.824983552631579,128,112
org.openRealmOfStars.starMap.planet.enums.HappinessBonus,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8923611111111112,58,50
org.openRealmOfStars.starMap.planet.construction.BuildingFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5571151129943502,154,66
org.openRealmOfStars.starMap.planet.construction.ConstructionFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8392577359968665,223,204
org.openRealmOfStars.starMap.planet.construction.Construction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9880952380952381,114,112
