TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.usantatecla.ustumlserver.UstUmlServerApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,11
com.usantatecla.ustumlserver.infrastructure.mongodb.persistence.utils.WithRelationDaosPersistence,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,3,3
com.usantatecla.ustumlserver.domain.services.reverseEngineering.FileParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,16,16
com.usantatecla.ustumlserver.domain.services.reverseEngineering.Directory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9009146341463414,103,97
com.usantatecla.ustumlserver.domain.services.reverseEngineering.GitCloner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7396978021978022,36,34
com.usantatecla.ustumlserver.domain.services.interpreters.WithMembersMemberInterpreter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6366070880873512,109,84
com.usantatecla.ustumlserver.domain.services.interpreters.PackageInterpreter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.71875,23,19
com.usantatecla.ustumlserver.domain.services.interpreters.EnumInterpreter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7558849045691151,104,91
com.usantatecla.ustumlserver.domain.services.interpreters.ClassInterpreter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8077866864902279,130,116
com.usantatecla.ustumlserver.domain.services.interpreters.MemberInterpreter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.71340190816935,159,134
com.usantatecla.ustumlserver.domain.services.parsers.MemberParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.638357843137255,58,53
com.usantatecla.ustumlserver.domain.services.parsers.MemberType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8264022435897436,108,95
com.usantatecla.ustumlserver.domain.services.parsers.PackageParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5604166666666667,51,30
com.usantatecla.ustumlserver.domain.services.parsers.ProjectParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,15,13
com.usantatecla.ustumlserver.domain.services.parsers.relations.RelationParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7729261748157097,139,117
com.usantatecla.ustumlserver.domain.services.parsers.relations.RelationType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8155776515151515,93,79
com.usantatecla.ustumlserver.domain.services.parsers.useCaseDiagram.UseCaseParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7770833333333333,38,29
