TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.springframework.cloud.openfeign.ribbon.CachingSpringLoadBalancerFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
org.springframework.cloud.openfeign.ribbon.LoadBalancerFeignClient,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4583333333333333,13,6
org.springframework.cloud.netflix.ribbon.SpringClientFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
dev.zevolution.netflixhexaarch.Application,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,11,9
dev.zevolution.netflixhexaarch.datasources.GithubSoftwaresDataSource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5104166666666666,30,18
dev.zevolution.netflixhexaarch.datasources.services.mapper.SoftwareMapperImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9808298319327731,80,77
dev.zevolution.netflixhexaarch.datasources.services.data.response.GithubRepoResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.974937343358396,1263,1183
dev.zevolution.netflixhexaarch.datasources.services.data.response.GitlabNameSpaceResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9761904761904762,135,127
dev.zevolution.netflixhexaarch.datasources.services.data.response.GitlabProjectResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.975,277,260
dev.zevolution.netflixhexaarch.datasources.services.data.response.GithubLicenseResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.975,85,80
dev.zevolution.netflixhexaarch.datasources.services.data.response.GithubOwnerResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9752747252747253,294,276
dev.zevolution.netflixhexaarch.datasources.services.data.response.GitlabUserResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9758064516129032,102,96
dev.zevolution.netflixhexaarch.entities.Software,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9761904761904762,70,66
dev.zevolution.netflixhexaarch.transportlayers.mapper.SoftwareMapperImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.921875,50,50
dev.zevolution.transportlayers.openapi.api.ApiUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6979166666666666,21,12
