TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
zowe.client.sdk.core.ZosConnectionFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8344476744186047,213,200
zowe.client.sdk.core.ZosConnection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8940577651515151,510,489
zowe.client.sdk.core.SshConnection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9065822111977321,202,198
zowe.client.sdk.zosmfinfo.ZosmfConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,3,0
zowe.client.sdk.zosmfinfo.methods.ZosmfStatus,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.39726800976800974,81,38
zowe.client.sdk.zosfiles.ZosFilesConstants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,3,0
zowe.client.sdk.zosfiles.dsn.input.DsnCreateInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8108974358974359,297,278
zowe.client.sdk.zosfiles.dsn.input.DsnDownloadInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8225806451612904,248,236
zowe.client.sdk.zosfiles.dsn.input.DsnDeleteInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8786764705882353,82,77
zowe.client.sdk.zosfiles.dsn.input.DsnCopyInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8166666666666667,137,131
zowe.client.sdk.zosfiles.dsn.input.DsnListInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8014705882352942,119,110
zowe.client.sdk.zosfiles.dsn.input.DsnRenameInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8819444444444444,98,92
zowe.client.sdk.zosfiles.dsn.methods.DsnDelete,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7391774891774892,74,73
zowe.client.sdk.zosfiles.dsn.methods.DsnCopy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7007407407407408,173,164
zowe.client.sdk.zosfiles.dsn.methods.DsnUpdate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6846904850131752,221,200
zowe.client.sdk.zosfiles.dsn.methods.DsnGet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.12817614444971537,172,16
zowe.client.sdk.zosfiles.dsn.methods.DsnList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10947655610916933,358,16
zowe.client.sdk.zosfiles.dsn.methods.DsnWrite,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7315546772068511,80,78
zowe.client.sdk.zosfiles.uss.input.UssGetInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7712418300653595,202,196
zowe.client.sdk.zosfiles.uss.input.UssChangeOwnerInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7556818181818181,93,89
zowe.client.sdk.zosfiles.uss.input.UssChangeModeInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7569444444444444,79,76
zowe.client.sdk.zosfiles.uss.input.UssMountInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7443181818181819,89,84
zowe.client.sdk.zosfiles.uss.input.UssListZfsInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7430555555555556,93,89
zowe.client.sdk.zosfiles.uss.input.UssCreateZfsInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8061941251596424,190,175
zowe.client.sdk.zosfiles.uss.input.UssCopyInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7708333333333334,88,86
zowe.client.sdk.zosfiles.uss.input.UssGetAclInputData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7740384615384616,119,116
