id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
42,dhatim_dropwizard-jwt-cookie-authentication,5,5,15,15,3,3,11,11,1,1,0,0,maven,False,open source,255,72f25ec139539d2a8fb330f7daad74e92cc9cb69,no improvement,11.0,0,0,0,0,0
11,ngageoint_geopackage-core-java,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,134,83ba47617d086f0a3b44929cd08171864fbb468e,no improvement,11.0,0,0,0,0,0
36,nlpub_watset-java,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,115,0769fa7ab3f7cbeef9e18f95c356fc1aeebadfcd,no improvement,11.0,0,0,0,0,0
48,twilio_twilio-oai-generator,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,89,9e06108881481946bb75f4db5628018d3f18fe0e,no improvement,11.0,0,0,0,0,0
77,pac4j_dropwizard-pac4j,5,5,11,11,2,2,6,6,3,3,0,0,maven,False,open source,398,dc120c4a059f1d0a35d48daaab1109a644ef6ed8,no improvement,11.0,0,0,0,0,0
92,phip1611_docx4j-search-and-replace-util,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,207,190d3739bff06050ecddb3b7acf13999a813b533,improvement,11.0,0,0,0,0,0
93,wdrammeh_utg-student-dashboard,2,2,48,14,5,2,30,9,10,2,3,1,maven,False,open source,599,4dc1e7c8bad4338943edc9a3eed04fed9f734b37,improvement,11.0,0,0,0,0,0
111,axel3rd_mpg-coach-bot,5,2,9,6,1,1,7,4,1,1,0,0,maven,False,open source,126,91edd92025745296d46c2f6b03b5718f25f6f5dd,improvement,11.0,0,3,0,0,0
118,s1ck_gdl,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,94,0728c05284753c81a8c9bc6e03e57012779c5ef2,no improvement,11.0,0,0,0,0,0
126,samuelalmeida95_giveMeBack-api,9,7,216,145,19,18,96,60,85,61,16,6,maven,False,open source,1174,7ee80fc3237cfd4301d8d6643287aac95b86c7b6,improvement,11.0,2,6,0,0,0
164,InfluxCommunity_influxdb3-java,4,4,10,10,2,2,5,5,3,3,0,0,maven,False,open source,365,a12fa649a8f9252616ca07c4b2a8b7aafce5f1de,no improvement,11.0,0,0,0,0,0
170,PGSSoft_HttpClientMock,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,72,7d0a27d9dff9470f1937595b2a9a5b0258729cd5,no improvement,11.0,0,0,0,0,0
180,slack-samples_bolt-java-starter-template,4,1,7,1,1,0,5,1,1,0,0,0,maven,False,open source,213,623b2fe8a7a78b4e0b94f6bd67ac99a706b71d08,improvement,11.0,0,0,0,0,0
174,eh3rrera_graphql-java-spring-boot-example,13,10,429,292,39,33,178,119,177,122,35,18,maven,False,open source,1705,6e03098cd329a705ffd9e62211216034cee2ae4d,improvement,11.0,0,0,0,0,0
184,StefanoPenazzi_chameleonQuant,4,3,17,4,1,1,7,1,7,2,2,0,maven,False,open source,120,30d3820247963c5dbfbaa98d38e5d31cf74c3845,improvement,11.0,1,1,0,0,0
187,nscuro_bradamsa-ng,3,0,3,0,0,0,1,0,2,0,0,0,maven,False,open source,104,fa92e5a8a3fd740482480585f781dbd2b6727cad,improvement,11.0,0,2,0,0,0
192,mipo256_properties-maven-plugin,7,2,10,2,1,0,6,1,3,1,0,0,maven,False,open source,404,2ab2e8ebc17f3b39eafdd09d6c05f51221b1af17,improvement,11.0,0,1,5,0,0
204,jitsi_jitsi-utils,1,1,1,1,0,0,1,1,0,0,0,0,maven,False,open source,413,3b921419c73fc31b1b17175044a66882e92910ae,no improvement,11.0,0,0,0,0,0
237,aws_aws-secretsmanager-jdbc,3,1,14,1,2,0,9,1,3,0,0,0,maven,False,open source,218,f6021d0d56ebd686a44f3a398f9643fd196092ba,improvement,11.0,0,0,0,0,0
239,stickfigure_hattery,2,0,5,0,2,0,3,0,0,0,0,0,maven,False,open source,197,2a13e192443e9d8fe7a4dcd4c027797c7c571365,improvement,11.0,0,0,0,0,0
257,ofpay_logback-mdc-ttl,4,0,6,0,2,0,2,0,2,0,0,0,maven,False,open source,100,fb4a2ed76612317cf97b2aa748b4371ad4428193,improvement,11.0,0,0,0,0,0
263,oswaldobapvicjr_performetrics,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,132,6508c067cd7c846fed00e1b07cf35ffbf5dcd03e,no improvement,11.0,0,0,0,0,0
269,omnifaces_omniutils,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,155,6d1220490deb8df55d3aa7dfeda939d590475acd,no improvement,11.0,0,0,0,0,0
270,Pradyuman7_Algorithmics,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,99,8eac23b76fb4b7ca50396fa1b7af2f1f4c81a31b,no improvement,11.0,0,0,0,0,0
280,arxila_atomichash,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,100,de96f49c07ee4310d449676bd4c02036f46ff74b,improvement,11.0,0,0,0,0,0
281,yusufyilmazfr_podcast4j,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,83,878f8d3cae3890ec390285054b29aeb583270d1b,improvement,11.0,0,0,0,0,0
282,wkrzywiec_NoticeBoard,13,8,320,191,21,15,114,86,146,77,39,13,maven,False,open source,1973,277050107a39d936220b0fe2a5163d4fa4d1d9f2,improvement,11.0,0,0,0,0,0
303,sahaRatul_sela-java,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,85,3fa9af60851d5efc01e1977c70deda7b7d254768,improvement,11.0,0,0,0,0,0
308,volodya-lombrozo_jsmith,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,72,f6d27ac2ce3ce4416c81d24ae7f6b77958320168,no improvement,11.0,0,0,0,0,0
318,ASSERT-KTH_deptrim,10,4,50,33,4,3,16,9,17,11,13,10,maven,False,open source,232,15dd1c97d2b3f7a0f27541d13657116fb4da6b63,improvement,11.0,0,0,0,0,0
336,fcrepo-exts_migration-utils,7,6,30,29,3,3,12,12,14,13,1,1,maven,False,open source,1091,e8610b56717c0d354768b44a30a44463ae78206a,improvement,11.0,0,0,0,0,0
333,rpeleias-v1_personapi_digital_innovation_one,6,6,195,161,16,12,83,66,83,71,13,12,maven,False,open source,2113,ced092672ced99238e28ab319f4284bf68e391d0,improvement,11.0,0,0,0,0,0
334,htmfilho_digger,10,9,241,240,22,22,93,93,105,104,21,21,maven,False,open source,2808,9c92a4ba13671d17566e58a5c5b3f68e27e61360,improvement,11.0,0,0,0,0,0
357,jethronap_jstat,7,4,103,18,3,0,25,13,62,4,13,1,maven,False,open source,235,36869c9d55f5b6c34679984c48bec5b35d02db04,improvement,11.0,0,0,0,0,0
352,arieslab_jnose-core,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,96,e701f4fbde6eebab9d6fedd60a1f779dbb43340d,no improvement,11.0,0,0,0,0,0
353,nuriofernandez_ReflectedEventHandler,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,100,5ea98a6527cd8d94e68a728310554a628c535b03,no improvement,11.0,0,0,0,0,0
349,alkemyTech_OT275-server,12,11,293,205,21,18,100,84,141,91,31,12,maven,False,open source,3283,9247f789a305c173dd47719067630781241504ae,improvement,11.0,0,0,0,0,0
37,Nylle_JavaFixture,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,123,883f6f3e2899f9096af34da2040fc20c20def060,improvement,11.0,0,0,1,0,0
39,volodya-lombrozo_xnav,1,0,3,0,1,0,2,0,0,0,0,0,maven,False,open source,111,422a35dc79e81acf5014a7a4e074164cbc3d0cf5,improvement,11.0,0,1,0,0,0
179,jckleiner_notion-backup,11,1,57,2,4,1,28,1,25,0,0,0,maven,False,open source,331,26bc0aa2d0c21a561d30540d7f81e304495534b8,improvement,11.0,3,7,0,0,0
186,loyispa_jgc_exporter,1,0,4,0,2,0,2,0,0,0,0,0,maven,False,open source,173,1106a3c53ecd1702d1587c7d1a862534167b48c6,improvement,11.0,0,0,1,0,0
189,azam_ulidj,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,160,0ef67e21bbeea5c4516c6346b236a2ed3d0be4b6,no improvement,11.0,0,0,0,0,0
1,clean-arch-enablers-project_cae-framework,1,0,2,0,1,0,1,0,0,0,0,0,maven,False,open source,84,d2a2527581d5ba5b233706a6bb6ec52155f4e40b,improvement,11.0,0,0,1,0,0
9,janlely_jparser,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,120,4699f5c62adf11c143eb5a1ba1fd10cc25328981,improvement,11.0,0,1,0,0,0
161,jodastephen_jpms-module-names,1,0,68,0,1,0,14,0,34,0,19,0,maven,False,open source,502,86232667f236baae5851d0f7d152a7adee58c339,improvement,11.0,0,0,0,0,0
162,manticore-projects_H2MigrationTool,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,98,5b715410331e0e8dd66c5b81e60a2edf894112b2,improvement,11.0,0,0,0,0,0
166,Project-Books_books-api,10,5,299,108,23,10,125,43,122,45,29,10,maven,False,open source,951,1634e7766c27a99c5a5594a6ba9c856ea0eebaf5,improvement,11.0,0,0,0,0,0
169,ngageoint_simple-features-geojson-java,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,158,f0c7b96acf2ffbcc892d85379e17803e17d080ff,no improvement,11.0,0,0,0,0,0
172,spannm_ucanaccess,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,249,6db0373a8209ecc5f635e8d963b80ad7e735fca5,improvement,11.0,0,0,0,0,0
195,gflewis_sndml3,7,1,12,1,1,0,6,0,3,1,2,0,maven,False,open source,180,fde636075268cfeb2482ff4dcd33379a6612f4d6,improvement,11.0,0,0,0,0,0
227,Coreoz_Windmill,4,0,13,0,2,0,6,0,5,0,0,0,maven,False,open source,120,dff3bc5f4b194c263f99eb9c8e8e45de7c94239f,improvement,11.0,0,0,0,0,0
231,ngageoint_simple-features-wkb-java,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,140,48cb9746c757e8df9de62303dc7b4818254eb8a9,no improvement,11.0,0,0,0,0,0
232,jzheng2017_resultset-mapper,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,135,f8a701f8f030c283551a0c0c2b4ec181739ac281,no improvement,11.0,0,0,0,0,0
237,brenoepics_at4j,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,115,a85ecb251cfc2e5236bb147bb214ba0facd033d6,no improvement,11.0,0,0,0,0,0
241,sttp-book_code-examples,2,0,2,0,0,0,1,0,1,0,0,0,maven,False,open source,101,f31fb6331ae730ff762116023cd70a6acdce7274,improvement,11.0,0,0,0,0,0
276,devslm_proguard-spring-boot-example,2,2,102,102,10,10,43,43,42,42,7,7,maven,False,open source,759,21bc711df095bcca61efae807149e499b0d1477f,no improvement,11.0,0,0,0,0,0
292,streamx-co_ExTree,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,75,76ea6fc943c0ef0afb95b2661dcb4a7089ec41c0,no improvement,11.0,0,0,0,0,0
317,oneteme_assertapi-core,6,3,19,6,0,0,5,2,12,3,2,1,maven,False,open source,543,40c9c90650ef6c26dc69abecc03431d5f558c7e1,improvement,11.0,0,0,0,0,0
325,oscerd_finnhub-java-client,2,0,2,0,0,0,2,0,0,0,0,0,maven,False,open source,183,cdf8b6a535c8f709c48a503a1155e0ad35e2dad2,improvement,11.0,0,0,0,0,0
326,Nick-Triller_accounting,1,0,2,0,1,0,1,0,0,0,0,0,maven,False,open source,97,b23004988c00471ae4fcc4048542c0c3a4965f5f,improvement,11.0,0,0,0,0,0
334,GuillaumeFalourd_java-training-api,7,7,209,209,20,20,95,95,81,81,13,13,maven,False,open source,1177,e26035fb70646a3ff5a6bf6496a3ccd7be3dd509,no improvement,11.0,0,0,0,0,0
338,gurkanucar_spring-boot-webrtc-peer2peer,3,2,100,79,11,10,44,33,40,33,5,3,maven,False,open source,439,f04ff330b8e7bfdda5a285d139cefe95eaf2b849,improvement,11.0,0,0,0,0,0
342,camunda-community-hub_zeebe-worker-java-testutils,2,1,15,14,2,2,7,7,6,5,0,0,maven,False,open source,389,8f2a1f8fdcda6f05af707dc4d7ec084c7084b61e,improvement,11.0,0,0,0,0,0
349,tugcekonuklar_account-service,8,8,265,113,17,16,89,43,123,47,36,7,maven,False,open source,663,fd6e0f046aa34bd789c5958a171af9adc23229b1,improvement,11.0,0,0,0,0,0
352,ath31st_s21_decimal_starter,2,0,2,0,0,0,2,0,0,0,0,0,maven,False,open source,88,6ff9a5f1a99e94f161f0828fb5640b6017354326,improvement,11.0,0,0,0,0,0
15,albfernandez_juniversalchardet,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,138,4809df3772bb50bc0527af6ad7a6653d9ef196a8,no improvement,11.0,0,0,0,0,0
51,xabgesagtx_telegram-spring-boot-starter,3,3,66,27,8,3,26,12,30,11,2,1,maven,False,open source,536,7d1a773ccbe47883fde3a90a4fc1468dc91ccd2f,improvement,11.0,2,0,0,0,0
57,praveensirvi1212_DevSecOps-project,2,1,104,1,10,0,44,0,43,1,7,0,maven,False,open source,130,cf8011475f91173a7bffa1a5c03ec7bf685116dc,improvement,11.0,2,0,0,0,0
49,Jakarta-EE-Petclinic_petclinic-jakartaee,29,27,315,253,30,28,173,138,88,67,24,20,maven,False,open source,2986,242b5d79724ba4ce51168b713a814b47c3f6675b,improvement,11.0,1,0,3,0,0
66,commoncrawl_cc-webgraph,5,3,240,228,17,15,85,78,105,104,33,31,maven,False,open source,184,23a4aed91110b71623373970d65f798acdf01ade,improvement,11.0,0,1,2,0,0
53,leanstacks_skeleton-ws-spring-boot,12,11,490,488,25,24,144,143,243,243,78,78,maven,False,open source,3111,0e76bb55a045e0c4784d71096a32d340bed20a71,improvement,11.0,1,0,0,0,0
94,rusakovichma_TicTaaC,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,134,313b8828034a0309ebe04f0d4c781e0a76e339e7,no improvement,11.0,0,0,0,0,0
76,SelimHorri_project-tracking-system-backend-app,15,14,465,153,36,31,182,65,198,50,49,7,maven,False,open source,1452,b236c3a96c9d2e7afc026a38c4f3572410112b62,improvement,11.0,6,4,0,0,0
96,ammaralii_interview-preparation-kit,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,69,93dbc402a2b11cfbe9915403532333dcbef233dd,no improvement,11.0,0,0,0,0,0
133,Luncher91_A2LParser,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,95,55d0880e368f75bc683fd273a3e299d5e766e176,no improvement,11.0,0,0,0,0,0
139,wiverson_jtoolprovider-plugin,5,2,14,6,1,1,7,3,4,1,2,1,maven,False,open source,183,969fb4114884a67463fc3db814adbae922d76c55,improvement,11.0,0,2,1,0,0
222,ssherwood_spring-boot-jpa,15,13,309,306,28,28,139,138,121,120,21,20,maven,False,open source,2325,ce1a5a76eb58f9b51756124aa83f75eae7046ab7,improvement,11.0,0,1,0,0,0
221,analysys_presto-hbase-connector,13,7,357,91,22,13,87,43,174,31,74,4,maven,False,open source,3799,ea7d5c1c62b3f4d572e4edeaf4c8018d8018b999,improvement,11.0,1,2,0,0,0
228,52North_jackson-datatype-jts,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,202,b3d5a58916367456bb7d00b19827f53d51498022,improvement,11.0,0,0,1,0,0
261,moacirrf_netbeans-markdown,5,1,15,11,0,0,5,3,7,5,3,3,maven,False,open source,798,8760053805f913de08710f51dac1ac5a8c61d4b8,improvement,11.0,0,1,1,0,0
267,botorabi_HomieCenter,7,7,309,309,24,24,156,156,111,111,18,18,maven,False,open source,1617,a8e70b5a6e1046f18656a9be139ef17d2839725f,no improvement,11.0,0,0,0,0,0
269,guohai163_java-sql-web,11,10,166,143,18,18,70,57,72,64,6,4,maven,False,open source,1205,296872c53eefce7a9a0cd32dccf5ab872735d5f2,improvement,11.0,2,0,2,0,0
277,awslabs_kinesis-kafka-connector,4,3,58,21,3,1,27,12,27,7,1,1,maven,False,open source,228,4b70584c74014fc645097a2fd1b9c8e336250d4e,improvement,11.0,1,2,1,0,0
271,supaldubey_blog-server,12,12,201,201,10,10,102,102,82,82,7,7,maven,False,open source,7924,7474143d706c0752109d60c6e0235c1191222325,no improvement,11.0,0,0,0,0,0
389,MikhailZentsov_java-filmorate,6,6,117,117,16,16,50,50,49,49,2,2,maven,False,open source,849,f6c8383c5ff3c33867c35fcd0a35eab1ce200c5a,no improvement,11.0,0,0,0,0,0
397,jeonjeunghoon_Kculter,11,10,430,205,20,15,101,67,222,101,87,22,maven,False,open source,678,2348d13cc976d4178fd2b070ca7d86c611ecd96a,improvement,11.0,3,1,1,0,0
403,czetsuyatech_spring-keycloak-multi-tenant,8,1,348,1,31,0,163,0,132,1,22,0,maven,False,open source,157,fe6fa0f7d6c1153a669d3d10e2f0dace28270fa3,improvement,11.0,8,0,0,0,0
405,ali-bouali_gestion-de-stock-api,9,8,298,162,18,14,104,42,138,84,38,22,maven,False,open source,533,38b48c59db11fcd7c5b76b9debe8f311d4337eca,improvement,11.0,5,0,1,0,0
416,Kevded_integration-test-spring-kafka-with-embedded-kafka-consumer-and-producer,8,5,159,78,13,7,71,37,66,31,9,3,maven,False,open source,933,1352602283e7556618401e436293374b64d319e4,improvement,11.0,3,3,0,0,0
430,aehrc_fhir-owl,9,5,249,124,13,2,64,19,126,62,46,41,maven,False,open source,562,bf5851071ce877ab22f4830b71a3ee4c66ddd763,improvement,11.0,4,0,2,0,0
431,mariorez_kanban-quarkus,15,14,223,217,11,11,117,113,83,82,12,11,maven,False,open source,5746,51bfa16722d6d34811c851b86e8867bbdd6b7a41,improvement,11.0,1,0,1,0,0
443,SelimHorri_hr-management-system,10,10,350,103,26,22,132,44,152,33,40,4,maven,False,open source,529,674b5dcf14ea2925b1451e37d7b6f945f724f613,improvement,11.0,8,1,0,0,0
447,cxzero_CVE-2022-42889-text4shell,3,2,81,79,10,10,34,33,33,33,4,3,maven,False,open source,436,18e0da21f2d96af151aa116e2f7900f860074353,improvement,11.0,0,0,0,0,0
459,c-guntur_jvms-compare,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,118,e91582f0d6144f73bf57b7056eaf52de2e00818a,improvement,11.0,1,0,0,0,0
461,digitalfondue_vatchecker,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,73,8ef4df593e5774f83a853fa37a3b9e87855414d5,no improvement,11.0,0,0,0,0,0
469,eideasy_eideasy-external-pades-digital-signatures,3,1,134,1,13,0,58,0,54,1,9,0,maven,False,open source,108,20d3e524665a96b6daef437b69c77161cf2554cb,improvement,11.0,3,0,0,0,0
470,salaboy_zeebe-worker-spring-boot-example,4,3,194,102,16,7,92,47,78,42,8,6,maven,False,open source,775,f0c57b2b9e4f49555eccf4e3c2e8bfd8d41a1d22,improvement,11.0,2,0,0,0,0
476,mariamihai_spring-security-amigoscode-tutorial,5,5,215,145,16,12,77,61,105,59,17,13,maven,False,open source,722,a23eeb4c60e26d0d33e4f72fa1b85ef74b6bdcff,improvement,11.0,1,1,1,0,0
477,Arghh_binance-trade-tracker,10,6,228,31,22,8,100,9,87,11,19,3,maven,False,open source,377,2caf6eb107dcfd84c6f462eef34d1d2c048e28a6,improvement,11.0,6,2,0,0,0
484,xxuzhengg_eastmoney,5,4,171,165,16,16,76,75,69,64,10,10,maven,False,open source,902,bc34744bd6b2cf8a6da69ce91bce2d2fb5190239,improvement,11.0,0,1,0,0,0
497,ProgrammerZamanNow_belajar-jenkins-pipeline,2,1,61,1,7,0,30,0,22,1,2,0,maven,False,open source,118,f80ad07324518d54358e5a5dc3872b553ecf224b,improvement,11.0,2,0,0,0,0
498,aws-samples_msk-config-providers,5,1,35,2,3,0,16,0,16,2,0,0,maven,False,open source,191,7bfc975c355ee474e71fa3ec2b091bfd50363e84,improvement,11.0,1,4,0,0,0
499,iwamih31_AccountBook,9,7,170,8,23,6,73,0,71,2,3,0,maven,False,open source,249,583257d018ddd1fd66a6bbd754ede1286a0ab9bc,improvement,11.0,7,1,0,0,0
509,sofieneBK_Hands-on-ci-cd-for-springboot-apps,3,3,113,113,10,10,50,50,46,46,7,7,maven,False,open source,560,93ca91ee344b9e945c2cffc69eca10dd44dd8083,no improvement,11.0,0,0,0,0,0
520,andrewkkchan_client-ledger-core-db,9,2,263,3,21,0,91,0,126,3,25,0,maven,False,open source,148,482e33ed3873361526d18102e51f1e73875b8440,improvement,11.0,7,1,0,0,0
528,c-guntur_java-handles-kata,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,73,ea889a81db490be38ace03c1298887f1bd065a5e,no improvement,11.0,0,0,0,0,0
533,As-12_Spring-boot-example-Send-Email-Template,8,7,165,158,17,17,78,74,61,59,9,8,maven,False,open source,860,bea9ec55f23aa30ba303c2b236d824cab753221a,improvement,11.0,1,0,1,0,0
554,anicetkeric_aws-cognito-spring-auth-server,4,3,137,98,13,9,58,41,58,41,8,7,maven,False,open source,582,cb8b86c5570949c16011d911ea0edb3849ac470f,improvement,11.0,1,0,1,0,0
556,bulutluoz_udemy-API,2,0,3,0,0,0,1,0,2,0,0,0,maven,False,open source,77,9bed4cab49f16562bcf75e2604b82be0179b9349,improvement,11.0,0,1,0,0,0
567,max-jang_korea-music-chart-api,4,4,131,131,11,11,60,60,52,52,8,8,maven,False,open source,675,60aa4e21dc248c0a0c4e270c3cce2a8d6aa4f8d9,no improvement,11.0,0,0,0,0,0
568,alblue_jvmulator,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,92,19c7e7225fb9f23f917950289093bbad9246d52e,no improvement,11.0,0,0,0,0,0
571,milpol_gorilla4j,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,76,2a5c21e6d9b0bd29f948b68a170bd9019af58bee,improvement,11.0,0,1,0,0,0
574,igoricelic_dtomapper,1,0,1,0,0,0,1,0,0,0,0,0,maven,False,open source,89,aedab0fda03cbdd4e98051994ea6c91561eaaa99,improvement,11.0,0,0,0,0,0
