id,Project Name,Repo URL,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
4,runabol_piper,https://github.com/runabol/piper,15,14,348,346,20,19,167,166,143,143,18,18,maven,False,open source,12387,1d0f9f393c6d307824275129370a17191c3ac070,improvement,11,1,0,0,0,0
64,wcmc-its_ReCiter,https://github.com/wcmc-its/ReCiter,24,17,832,725,22,20,208,179,425,374,177,152,maven,True,open source,10650,ea0b4f65f2c29f55c3ad04f68b8f3c8899932cff,improvement,11,3,4,0,0,0
116,mikaelgrev_miglayout,https://github.com/mikaelgrev/miglayout,1,1,1,1,0,0,1,1,0,0,0,0,maven,False,open source,7138,0d75360e1d255cdae9dda74e2e39c3b3db17bcc3,no improvement,11,0,0,0,0,0
147,eclipse-collections_eclipse-collections-kata,https://github.com/eclipse-collections/eclipse-collections-kata,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,907,3d374def8d7a838710b5fccf0d04232dddf2ee6d,no improvement,11,0,0,0,0,0
158,brianburton_java-immutable-collections,https://github.com/brianburton/java-immutable-collections,0,0,0,0,0,0,0,0,0,0,0,0,maven,True,open source,157,d335487768ce7e24463a303034e861052772c5be,no improvement,11,0,0,0,0,0
365,stratospheric-dev_cdk-constructs,https://github.com/stratospheric-dev/cdk-constructs,0,0,0,0,0,0,0,0,0,0,0,0,maven,True,open source,511,9e0c41ac966f16e5317f0c4b20ad6868c53fea45,no improvement,11,0,0,0,0,0
381,albfernandez_juniversalchardet,https://github.com/albfernandez/juniversalchardet,0,0,0,0,0,0,0,0,0,0,0,0,maven,True,open source,92,4809df3772bb50bc0527af6ad7a6653d9ef196a8,no improvement,11,0,0,0,0,0
496,qoomon_maven-git-versioning-extension,https://github.com/qoomon/maven-git-versioning-extension,2,1,3,2,0,0,2,1,1,1,0,0,maven,True,open source,77,c6e4cfa885a26ba551e55901d08cc76dd634b9f0,improvement,11,0,0,1,0,0
512,reugn_dev-tools,https://github.com/reugn/dev-tools,1,1,2,2,1,1,1,1,0,0,0,0,maven,False,open source,442,0fcd6ad624bc2151920601fea4adefac375e8535,no improvement,11,3,0,0,0,0
733,wkrzywiec_library-hexagonal,https://github.com/wkrzywiec/library-hexagonal,15,8,277,215,16,13,120,97,122,91,19,14,maven,True,open source,2950,e2b77ab1d03e7d13ad52699d86d191b75791b536,improvement,11,1,4,1,0,0
754,zowe_zowe-client-java-sdk,https://github.com/zowe/zowe-client-java-sdk,1,1,1,1,0,0,1,1,0,0,0,0,maven,True,open source,121,64592bf305b34d18d3bd7778ca2f4cf5c07b5825,no improvement,11,0,0,0,0,0
765,Hack23_sonar-cloudformation-plugin,https://github.com/Hack23/sonar-cloudformation-plugin,1,0,1,0,0,0,0,0,1,0,0,0,maven,True,open source,125,a13d02acd5d180aeb8ac86f20aa911598219230b,improvement,11,0,1,0,0,0
782,myxzjie_cms,https://github.com/myxzjie/cms,28,14,488,128,34,6,187,30,236,69,31,23,maven,False,open source,479,9f2ff021896fe350768b787cb4d1824dad24e4f2,improvement,11,15,4,3,0,0
811,bhlangonijr_chesslib,https://github.com/bhlangonijr/chesslib,0,0,0,0,0,0,0,0,0,0,0,0,maven,True,open source,69,a2e6d6acfbc40018b666406a9b5fd0770e5e2af2,no improvement,11,0,0,0,0,0
832,raydac_java-binary-block-parser,https://github.com/raydac/java-binary-block-parser,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,66,3acb2e538e16da8f4bc5c143409a43b33e741dc1,improvement,11,0,0,1,0,0
842,crawler-commons_crawler-commons,https://github.com/crawler-commons/crawler-commons,1,0,5,0,0,0,0,0,2,0,3,0,maven,True,open source,76,a8c0e95713c966bac4da722afa0cc3cdbe95eda4,improvement,11,0,0,1,0,0
907,nikoo28_java-solutions,https://github.com/nikoo28/java-solutions,0,0,0,0,0,0,0,0,0,0,0,0,maven,True,open source,71,a7f282d36a96a486af2259f5fd15deb96b00667a,no improvement,11,0,0,1,0,0
923,monarch-initiative_phenol,https://github.com/monarch-initiative/phenol,4,2,17,12,1,0,9,8,7,4,0,0,maven,False,open source,163,7df95fc4bd9cd6f17400dd51e71dec11e2eb1931,improvement,11,0,2,0,0,0
992,10cks_fofaEX,https://github.com/10cks/fofaEX,5,0,15,0,1,0,7,0,6,0,1,0,maven,False,open source,80,9a228815c04e81f5cba52f1cfe7ada4fbbe4e3c9,improvement,11,2,3,1,0,0
1054,ls1intum_Ares,https://github.com/ls1intum/Ares,1,0,2,0,1,0,1,0,0,0,0,0,maven,False,open source,745,267e744b391c7f2482566461356494704fcefa01,improvement,11,0,0,1,0,0
1115,oVirt_ovirt-engine-api-model,https://github.com/oVirt/ovirt-engine-api-model,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,125,3b9fdb8974be0a6d3c4e193dbd62a65272a510b1,no improvement,11,0,0,0,0,0
1221,bigintpro_csdn_downloader,https://github.com/bigintpro/csdn_downloader,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,42,92f219d4ef5444fc0c180240eebd919e85d9e100,no improvement,11,0,0,0,0,0
117,zalando_tokens,https://github.com/zalando/tokens,1,0,1,0,0,0,0,0,1,0,0,0,maven,True,open source,188,227be9b81106297551a577227a687e5c5e25f346,improvement,11,0,0,1,0,0
156,zakariamaaraki_RemoteCodeCompiler,https://github.com/zakariamaaraki/RemoteCodeCompiler,22,13,496,282,26,18,186,114,223,116,61,34,maven,False,open source,3488,69a060724def1fb529346b8c574ce21b0bd08832,improvement,11,6,7,1,0,0
252,pac4j_spark-pac4j,https://github.com/pac4j/spark-pac4j,1,1,7,7,2,2,4,4,1,1,0,0,maven,False,open source,87,99491fa002bab4e4ede17e8a73c5714e098e80dd,no improvement,11,0,0,0,0,0
271,LeonardoZ_java-concurrency-patterns,https://github.com/LeonardoZ/java-concurrency-patterns,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,32,38de4e96329c35da1ac699dbb697edd1e79df214,no improvement,11,0,0,0,0,0
338,kakawait_cas-security-spring-boot-starter,https://github.com/kakawait/cas-security-spring-boot-starter,8,3,171,64,16,3,73,30,68,23,14,8,maven,False,open source,136,fb48505a4efc5f33a3e4ba72bd90231d944ebbcf,improvement,11,9,0,0,0,0
