project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,evosuite,62.661,40.0,35,91,65,135,29,81,success,maven_returncode=0,381,0.381
AgMonk_merge-gf-assets,evosuite,9.221,5.981,325,358,414,489,128,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,464,0.464
alexandreaquiles_dibujo,evosuite,41.028,27.215,63,103,90,183,2,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,7101,7.101
amigoscode_springboot-twilio,evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
anicetkeric_aws-cognito-spring-auth-server,evosuite,35.587,17.623,216,312,203,344,115,190,success,maven_returncode=0,826,0.826
artmcoder_Buysell,evosuite,23.077,0,3,4,4,5,3,4,success,maven_returncode=0,19,0.019
ashrawan_apache-poi-chart-sample,evosuite,35.277,45.261,280,597,1166,1586,102,283,success,maven_returncode=0,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,evosuite,15.965,3.604,92,125,374,445,24,56,success,maven_returncode=0,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,evosuite,16.248,0.0,43,69,146,185,19,45,success,maven_returncode=0,340,0.34
awslabs_kinesis-kafka-connector,evosuite,51.245,60.819,52,141,202,427,13,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,evosuite,71.612,70.732,31,102,24,73,18,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,evosuite,7.028,6.618,345,382,732,796,280,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,evosuite,80.791,0,5,22,12,50,5,22,success,maven_returncode=0,126,0.126
code-it-team_gotcha-be,evosuite,26.888,5.195,316,448,366,544,242,371,success,maven_returncode=0,1610,1.61
cxzero_CVE-2022-42889-text4shell,evosuite,3.846,0.0,10,11,21,22,8,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,evosuite,25.903,16.176,110,161,230,311,80,127,success,maven_returncode=0,877,0.877
dr-mod_tidy-flappy-bird,evosuite,62.76,45.652,159,387,358,1008,66,247,success,maven_returncode=0,1741,1.741
eBay_digital-signature-verification-ebay-api,evosuite,0.0,0.0,83,83,336,336,42,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,evosuite,53.409,61.765,52,114,70,139,38,80,success,maven_returncode=0,381,0.381
ErgunAhmet_DataJpaYt,evosuite,0.09,0.0,446,447,406,407,240,241,success,maven_returncode=0,1077,1.077
fatihhernn_spring-boot-ecommerce,evosuite,62.918,75.455,41,117,35,53,27,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,evosuite,31.64,0.0,185,241,432,634,168,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,evosuite,30.686,23.214,513,864,2166,3110,187,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,evosuite,5.003,0.0,181,189,358,371,163,171,success,maven_returncode=0,604,0.604
francoiducat_springboot-minimal-graphql-client,evosuite,30.719,0,11,23,30,41,11,23,success,maven_returncode=0,94,0.094
gabrieldim_CSV-Export-Spring-Boot,evosuite,28.0,100.0,9,17,28,42,9,16,success,maven_returncode=0,102,0.102
gabrieldim_Email-Sender-Spring-Boot,evosuite,51.852,0,3,6,10,20,3,6,success,maven_returncode=0,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,evosuite,86.598,0,1,6,6,30,1,6,success,maven_returncode=0,62,0.062
gavinklfong_spring-investment-platform,evosuite,0.099,0.0,450,451,147,148,235,236,success,maven_returncode=0,342,0.342
GCS-ZHN_movie-on-server,evosuite,0.0,0.0,292,292,678,678,149,149,success,maven_returncode=0,1345,1.345
GSMgeeth_medium-coffeeshop-sample,evosuite,13.606,6.667,74,87,180,208,60,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,evosuite,2.256,0.0,27,28,43,44,19,20,success,maven_returncode=0,132,0.132
hamitmizrak_AllSpringBlogProject,evosuite,13.748,13.636,175,215,164,194,108,138,success,maven_returncode=0,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,evosuite,1.765,0.0,406,437,580,612,275,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,evosuite,95.641,100.0,3,53,6,95,3,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,evosuite,65.556,0,5,17,10,31,5,17,success,maven_returncode=0,135,0.135
innoq_cookie-based-session-springboot-app,evosuite,58.665,55.882,28,76,87,194,19,59,success,maven_returncode=0,431,0.431
