project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,kex+evosuite,66.796,45.0,28,91,52,135,22,81,success,maven_returncode=0,381,0.381
AgMonk_merge-gf-assets,kex+evosuite,27.48,18.66,245,358,352,489,63,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | va:[17,10] cannot find symbol [ERROR]   symbol: class EvoRunner [ERROR] /app/src/test/java/evosuite-tests/ru/sbt/azatakhunov/customerservice/application/CustomerQueryService_ESTest.java:[18,10] cannot find symbol [ERROR]   symbol: class EvoRunner [ERROR] /app/src/test/java/evosuite-tests/ru/sbt/azatakhunov/customerservice/common/Aggregate_ESTest.java:[14,10] cannot find symbol [ERROR]   symbol: class EvoRunner [ERROR] -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException ",464,0.464
alexandreaquiles_dibujo,kex+evosuite,43.337,29.747,60,103,86,183,0,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=1 | uite.runtime does not exist [ERROR] /app/src/test/java/evosuite-tests/com/alkemy/ong/infrastructure/rest/response/category/CreateCategoryResponse_ESTest.java:[12,28] package org.evosuite.runtime does not exist [ERROR] /app/src/test/java/evosuite-tests/com/alkemy/ong/infrastructure/rest/response/category/CreateCategoryResponse_ESTest_scaffolding.java:[9,39] package org.evosuite.runtime.annotation does not exist [ERROR] -> [Help 1] [ERROR]  [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR]  [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException ",7101,7.101
amigoscode_springboot-twilio,kex+evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
anicetkeric_aws-cognito-spring-auth-server,kex+evosuite,61.687,40.984,102,312,128,344,24,190,success,maven_returncode=0,826,0.826
artmcoder_Buysell,kex+evosuite,100.0,0,0,4,0,5,0,4,success,maven_returncode=0,19,0.019
ashrawan_apache-poi-chart-sample,kex+evosuite,40.194,52.124,237,597,1155,1586,78,283,success,maven_returncode=0,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,kex+evosuite,15.965,3.604,92,125,374,445,24,56,success,maven_returncode=0,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,kex+evosuite,33.235,8.333,35,69,118,185,11,45,success,maven_returncode=0,340,0.34
awslabs_kinesis-kafka-connector,kex+evosuite,51.245,60.819,52,141,202,427,13,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,kex+evosuite,84.165,76.829,16,102,19,73,5,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,kex+evosuite,36.223,29.412,144,382,393,796,86,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,kex+evosuite,87.006,0,3,22,7,50,3,22,success,maven_returncode=0,126,0.126
code-it-team_gotcha-be,kex+evosuite,62.146,25.974,130,448,221,544,67,371,success,maven_returncode=0,1610,1.61
cxzero_CVE-2022-42889-text4shell,kex+evosuite,91.026,50.0,2,11,1,22,0,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,kex+evosuite,47.886,33.824,58,161,136,311,31,127,success,maven_returncode=0,877,0.877
dr-mod_tidy-flappy-bird,kex+evosuite,73.285,58.696,96,387,244,1008,15,247,success,maven_returncode=0,1741,1.741
eBay_digital-signature-verification-ebay-api,kex+evosuite,0.0,0.0,83,83,336,336,42,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,kex+evosuite,67.33,76.471,34,114,52,139,23,80,success,maven_returncode=0,381,0.381
ErgunAhmet_DataJpaYt,kex+evosuite,43.932,25.728,242,447,241,407,74,241,success,maven_returncode=0,1077,1.077
fatihhernn_spring-boot-ecommerce,kex+evosuite,91.432,82.727,13,117,0,53,2,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,kex+evosuite,50.247,0.0,74,241,268,634,57,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,kex+evosuite,32.676,23.597,483,864,2098,3110,159,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,kex+evosuite,43.951,33.333,89,189,212,371,75,171,success,maven_returncode=0,604,0.604
francoiducat_springboot-minimal-graphql-client,kex+evosuite,91.503,0,0,23,4,41,0,23,success,maven_returncode=0,94,0.094
gabrieldim_CSV-Export-Spring-Boot,kex+evosuite,51.333,100.0,3,17,12,42,3,16,success,maven_returncode=0,102,0.102
gabrieldim_Email-Sender-Spring-Boot,kex+evosuite,72.222,0,1,6,5,20,1,6,success,maven_returncode=0,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,kex+evosuite,91.753,0,0,6,4,30,0,6,success,maven_returncode=0,62,0.062
