project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,native+kex,34.625,5.0,45,91,78,135,35,81,success,maven_returncode=0,381,0.381
AgMonk_merge-gf-assets,native+kex,0.0,0.0,358,358,489,489,149,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,native+kex,73.684,46.479,63,184,65,164,10,113,success,maven_returncode=0,464,0.464
alexandreaquiles_dibujo,native+kex,94.544,84.177,25,103,15,183,1,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,native+kex,92.038,81.429,124,1535,191,2354,61,1325,success,maven_returncode=0,7101,7.101
amigoscode_springboot-twilio,native+kex,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
anicetkeric_aws-cognito-spring-auth-server,native+kex,42.748,28.279,133,312,213,344,39,190,success,maven_returncode=0,826,0.826
artmcoder_Buysell,native+kex,100.0,0,0,4,0,5,0,4,success,maven_returncode=0,19,0.019
ashrawan_apache-poi-chart-sample,native+kex,33.497,19.118,378,597,1162,1586,97,283,success,maven_returncode=0,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,native+kex,2.011,0.901,122,125,436,445,53,56,success,maven_returncode=0,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,native+kex,27.77,8.333,40,69,126,185,16,45,success,maven_returncode=0,340,0.34
awslabs_kinesis-kafka-connector,native+kex,0.0,0.0,141,141,427,427,50,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,native+kex,71.041,26.829,37,102,10,73,3,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,native+kex,45.944,22.794,150,382,355,796,89,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,native+kex,74.576,0,4,22,10,50,4,22,success,maven_returncode=0,126,0.126
code-it-team_gotcha-be,native+kex,69.291,26.623,123,448,179,544,60,371,success,maven_returncode=0,1610,1.61
cxzero_CVE-2022-42889-text4shell,native+kex,91.026,50.0,2,11,1,22,0,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,native+kex,64.566,47.059,49,161,95,311,23,127,success,maven_returncode=0,877,0.877
dr-mod_tidy-flappy-bird,native+kex,49.549,30.435,159,387,458,1008,41,247,success,maven_returncode=0,1741,1.741
eBay_digital-signature-verification-ebay-api,native+kex,67.218,61.111,41,83,116,336,18,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,native+kex,51.136,29.412,52,114,62,139,24,80,success,maven_returncode=0,381,0.381
ErgunAhmet_DataJpaYt,native+kex,43.932,25.728,242,447,241,407,74,241,success,maven_returncode=0,1077,1.077
fatihhernn_spring-boot-ecommerce,native+kex,67.604,27.273,44,117,0,53,2,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,native+kex,20.899,0.0,113,241,453,634,96,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,native+kex,17.815,7.526,622,864,2507,3110,233,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,native+kex,58.448,66.667,76,189,147,371,65,171,success,maven_returncode=0,604,0.604
francoiducat_springboot-minimal-graphql-client,native+kex,91.503,0,0,23,4,41,0,23,success,maven_returncode=0,94,0.094
gabrieldim_CSV-Export-Spring-Boot,native+kex,50.667,50.0,4,17,13,42,3,16,success,maven_returncode=0,102,0.102
gabrieldim_Email-Sender-Spring-Boot,native+kex,37.037,0,2,6,11,20,2,6,success,maven_returncode=0,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,native+kex,17.526,0,2,6,23,30,2,6,success,maven_returncode=0,62,0.062
gavinklfong_spring-investment-platform,native+kex,73.707,31.86,168,451,4,148,3,236,success,maven_returncode=0,342,0.342
GCS-ZHN_movie-on-server,native+kex,12.467,7.857,260,292,582,678,120,149,success,maven_returncode=0,1345,1.345
GSMgeeth_medium-coffeeshop-sample,native+kex,47.556,13.333,41,87,94,208,27,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,native+kex,61.654,37.5,10,28,15,44,4,20,success,maven_returncode=0,132,0.132
hamitmizrak_AllSpringBlogProject,native+kex,36.965,11.688,124,215,114,194,54,138,success,maven_returncode=0,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,native+kex,35.741,14.885,241,437,452,612,122,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,native+kex,90.769,50.0,7,53,13,95,4,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,native+kex,100.0,0,0,17,0,31,0,17,success,maven_returncode=0,135,0.135
innoq_cookie-based-session-springboot-app,native+kex,86.65,64.706,22,76,28,194,12,59,success,maven_returncode=0,431,0.431
itsecurityco_CVE-2022-22965,native+kex,70.968,0,2,10,7,25,2,10,success,maven_returncode=0,54,0.054
ivanjakimovski_spring-boot-pdf-generator,native+kex,17.347,0,2,6,23,30,2,6,success,maven_returncode=0,60,0.06
iwamih31_AccountBook,native+kex,0.0,0.0,554,554,1615,1615,312,312,success,maven_returncode=0,2688,2.688
janlely_jparser,native+kex,82.869,52.893,204,854,124,1096,61,609,success,maven_returncode=0,1901,1.901
jeonjeunghoon_Kculter,native+kex,39.508,13.939,141,441,638,1369,68,358,success,maven_returncode=0,2771,2.771
jonashackt_spring-boot-buildpack,native+kex,100.0,0,0,8,0,13,0,8,success,maven_returncode=0,41,0.041
jsalonl_interceptor-springboot,native+kex,100.0,75.0,2,102,0,112,0,98,success,maven_returncode=0,314,0.314
juliengalet_reactor-flow,native+kex,99.504,96.875,12,386,7,800,7,305,build_with_test_issues,maven_returncode=1,1956,1.956
kanajin_Aqua-docker,native+kex,57.679,18.217,7280,17257,5758,12974,1010,9985,success,maven_returncode=0,27852,27.852
Katibat_java-filmorate,native+kex,69.832,36.111,135,330,110,425,29,204,success,maven_returncode=0,1082,1.082
kiberohrannik_webflux-log,native+kex,94.737,93.243,14,192,21,397,9,155,success,maven_returncode=0,1027,1.027
kousen_questjpa,native+kex,85.135,28.333,27,145,9,216,1,115,success,maven_returncode=0,615,0.615
koushikkothagal_ipl-dashboard,native+kex,93.836,90.0,5,108,8,214,4,103,success,maven_returncode=0,527,0.527
koushikkothagal_spring-boot-security,native+kex,0.0,0,10,10,24,24,10,10,success,maven_returncode=0,61,0.061
kriscfoster_spring-boot-testing-pyramid,native+kex,100.0,0,0,6,0,9,0,6,success,maven_returncode=0,33,0.033
kyungseo_project-web-starter,native+kex,50.53,34.451,1373,2759,2873,5602,656,1835,success,maven_returncode=0,12472,12.472
liuhongdi_ratelimiter,native+kex,10.297,0.0,45,54,118,134,41,50,success,maven_returncode=0,315,0.315
lyubenblagoev_postfix-rest-server,native+kex,28.784,0.588,292,531,661,1106,207,446,success,maven_returncode=0,2770,2.77
maciejwalkowiak_paseq-maven-plugin,native+kex,90.652,82.0,9,62,14,120,1,37,success,maven_returncode=0,246,0.246
mariamihai_spring-security-amigoscode-tutorial,native+kex,60.48,0.0,23,73,77,191,21,71,success,maven_returncode=0,515,0.515
markbdsouza_hateoas-with-pagination,native+kex,24.155,0.0,22,36,36,56,20,34,success,maven_returncode=0,207,0.207
martinachov_hexagonal-architecture-ddd-springboot,native+kex,66.955,0.0,15,79,26,65,14,78,success,maven_returncode=0,237,0.237
max-jang_korea-music-chart-api,native+kex,5.964,0.0,191,203,283,312,103,115,success,maven_returncode=0,594,0.594
meteergin_medium-java-streams,native+kex,86.799,35.714,15,58,0,102,0,37,success,maven_returncode=0,144,0.144
micw_tibber-pulse-reader,native+kex,75.899,57.618,135,372,294,866,39,190,success,maven_returncode=0,1727,1.727
MikeAScott_spring-todo-list,native+kex,4.013,0.0,31,35,72,76,30,34,success,maven_returncode=0,193,0.193
milpol_gorilla4j,native+kex,93.357,88.0,12,94,15,251,1,44,success,maven_returncode=0,501,0.501
mmarcosab_rabbitmq-example,native+kex,45.455,0.0,5,17,16,32,3,15,success,maven_returncode=0,113,0.113
mohaghighi_Covid19-Web-Application,native+kex,,,,,,,,,exception,Destino já existe: /home/suelenfelix/TCC/teste/evosuite/projects/mohaghighi_Covid19-Web-Application/src/test/java/kex-tests,610,0.61
Mozenn_spring-boot-hibernate-search,native+kex,63.37,23.684,38,91,24,87,7,53,success,maven_returncode=0,260,0.26
MrGraversen_minecraft-rcon,native+kex,86.206,63.303,50,433,141,1035,18,378,success,maven_returncode=0,2483,2.483
MSmirnov2407_Filmorate,native+kex,41.427,18.182,106,194,304,558,63,150,success,maven_returncode=0,1256,1.256
NO-ob_LoliSnatcher,native+kex,14.076,11.31,255,310,883,1087,75,130,success,maven_returncode=0,1770,1.77
olein_Java-AWS-RnD,native+kex,36.526,0.0,20,47,75,125,18,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,native+kex,57.118,30.252,129,261,210,572,17,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,native+kex,44.461,0.0,191,582,490,1237,121,512,success,maven_returncode=0,3678,3.678
ozifirebrand_printHia,native+kex,70.926,35.192,192,487,5,290,4,227,success,maven_returncode=0,724,0.724
paneladev_agenda-service,native+kex,69.498,28.846,67,260,85,257,27,208,success,maven_returncode=0,800,0.8
ProgrammerZamanNow_belajar-jenkins-pipeline,native+kex,78.611,35.484,56,246,14,224,10,184,success,maven_returncode=0,822,0.822
ProgrammerZamanNow_belajar-spring-dasar,native+kex,78.611,35.484,56,246,14,224,10,184,success,maven_returncode=0,822,0.822
raffoulRicardo_movimento-qa-2023,native+kex,61.163,26.19,37,84,7,43,4,42,success,maven_returncode=0,110,0.11
rahul26021999_QrCode-JavaSpringBoot,native+kex,37.908,0,3,9,25,34,3,9,success,maven_returncode=0,79,0.079
RaisaRS_java-filmorate,native+kex,53.498,20.833,65,165,160,406,41,141,success,maven_returncode=0,1144,1.144
raviyasas_sample-room,native+kex,40.724,26.087,38,64,39,62,20,41,success,maven_returncode=0,186,0.186
reactive-learning-io_spring-boot-reactive-webclient,native+kex,35.722,21.212,58,105,89,143,30,72,success,maven_returncode=0,342,0.342
rmondejar_spring-boot-junit5-example,native+kex,70.359,33.871,62,197,39,124,14,135,success,maven_returncode=0,402,0.402
saiGou-14H_FaceSystem,native+kex,0.0,0.0,1216,1216,1701,1701,647,647,success,maven_returncode=0,3815,3.815
sashinpivotal_spring-boot-tdd,native+kex,89.157,65.625,10,37,2,61,1,21,success,maven_returncode=0,154,0.154
schauder_talk-beyond,native+kex,98.489,50.0,2,41,2,96,1,40,success,maven_returncode=0,342,0.342
SelimHorri_elastic-boot,native+kex,52.805,28.571,21,46,14,27,10,32,success,maven_returncode=0,131,0.131
SelimHorri_embedded-mongo-playing-with-spring-boot,native+kex,50.073,26.471,40,91,44,64,13,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,native+kex,48.397,0.0,73,172,155,372,65,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,native+kex,84.571,0.0,3,18,7,54,2,17,success,maven_returncode=0,141,0.141
smartup-tech_Time-Tracker,native+kex,61.443,32.24,1508,3403,1069,2997,377,1925,success,maven_returncode=0,7609,7.609
sofieneBK_Hands-on-ci-cd-for-springboot-apps,native+kex,100.0,100.0,0,9,0,26,0,7,success,maven_returncode=0,55,0.055
souris-dev_samosac-jvm,native+kex,7.975,4.186,2111,2266,4765,5055,1196,1330,success,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,native+kex,50.373,29.994,1594,3104,2031,2918,297,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,native+kex,63.932,32.117,217,608,481,1489,162,538,success,maven_returncode=0,3512,3.512
syqu22_spring-boot-shop-sample,native+kex,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
SysObligatoriskOpgave22_BackendWebApp,native+kex,99.446,62.0,19,113,0,135,0,88,success,maven_returncode=0,387,0.387
szerhusenBC_jwt-spring-security-demo,native+kex,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
ValentinaBuddha_java-filmorate,native+kex,13.319,12.5,86,126,200,248,71,110,success,maven_returncode=0,849,0.849
Victor-Borisov_java-filmorate,native+kex,66.56,27.869,156,389,106,332,58,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,native+kex,,,,,,,,,no_jacoco_csv,maven_returncode=1,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,native+kex,36.053,0.0,16,37,52,101,13,34,success,maven_returncode=0,225,0.225
xxuzhengg_eastmoney,native+kex,30.551,0.0,27,83,136,244,11,67,success,maven_returncode=0,545,0.545
yoandypv_todo-api,native+kex,48.615,21.053,67,118,31,74,20,61,success,maven_returncode=0,225,0.225
Youngerjesus_refactoring-2nd-edition,native+kex,83.992,47.018,135,692,123,1161,14,543,success,maven_returncode=0,2628,2.628
