project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,native,4.26,0.0,84,91,122,135,74,81,success,maven_returncode=0,381,0.381
AgMonk_merge-gf-assets,native,0.09,0.0,357,358,488,489,148,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,native,45.11,28.87,106,184,97,164,39,113,success,maven_returncode=0,464,0.464
alexandreaquiles_dibujo,native,91.71,81.65,31,103,21,183,3,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,native,77.58,58.57,416,1535,507,2354,283,1325,success,maven_returncode=0,7101,7.101
amigoscode_springboot-twilio,native,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
anicetkeric_aws-cognito-spring-auth-server,native,4.18,0.0,290,312,322,344,168,190,success,maven_returncode=0,826,0.826
artmcoder_Buysell,native,46.15,0,2,4,3,5,2,4,success,maven_returncode=0,19,0.019
ashrawan_apache-poi-chart-sample,native,20.28,8.99,487,597,1217,1586,182,283,success,maven_returncode=0,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,native,0.0,0.0,125,125,445,445,56,56,success,maven_returncode=0,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,native,0.0,0.0,69,69,185,185,45,45,success,maven_returncode=0,340,0.34
awslabs_kinesis-kafka-connector,native,0.0,0.0,141,141,427,427,50,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,native,5.71,0.0,91,102,60,73,50,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,native,17.09,0.0,345,382,690,796,277,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,native,49.72,0,14,22,22,50,14,22,success,maven_returncode=0,126,0.126
code-it-team_gotcha-be,native,45.32,5.84,251,448,248,544,177,371,success,maven_returncode=0,1610,1.61
cxzero_CVE-2022-42889-text4shell,native,7.69,0.0,9,11,20,22,7,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,native,35.59,38.24,120,161,224,311,91,127,success,maven_returncode=0,877,0.877
dr-mod_tidy-flappy-bird,native,0.0,0.0,387,387,1008,1008,247,247,success,maven_returncode=0,1741,1.741
eBay_digital-signature-verification-ebay-api,native,67.22,61.11,41,83,116,336,18,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,native,29.83,5.88,85,114,95,139,51,80,success,maven_returncode=0,381,0.381
ErgunAhmet_DataJpaYt,native,3.15,0.0,431,447,364,407,225,241,success,maven_returncode=0,1077,1.077
fatihhernn_spring-boot-ecommerce,native,14.46,1.82,107,117,25,53,53,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,native,4.18,0.0,220,241,610,634,203,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,native,0.0,0.0,864,864,3110,3110,464,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,native,36.86,47.22,143,189,217,371,126,171,success,maven_returncode=0,604,0.604
francoiducat_springboot-minimal-graphql-client,native,11.11,0,19,23,35,41,19,23,success,maven_returncode=0,94,0.094
gabrieldim_CSV-Export-Spring-Boot,native,8.0,0.0,14,17,37,42,13,16,success,maven_returncode=0,102,0.102
gabrieldim_Email-Sender-Spring-Boot,native,27.78,0,3,6,13,20,3,6,success,maven_returncode=0,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,native,12.37,0,3,6,25,30,3,6,success,maven_returncode=0,62,0.062
gavinklfong_spring-investment-platform,native,28.37,5.58,324,451,62,148,109,236,success,maven_returncode=0,342,0.342
GCS-ZHN_movie-on-server,native,12.11,7.86,260,292,583,678,120,149,success,maven_returncode=0,1345,1.345
GSMgeeth_medium-coffeeshop-sample,native,27.08,0.0,72,87,144,208,57,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,native,6.77,0.0,25,28,41,44,17,20,success,maven_returncode=0,132,0.132
hamitmizrak_AllSpringBlogProject,native,11.41,0.0,190,215,153,194,113,138,success,maven_returncode=0,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,native,9.15,1.15,382,437,538,612,251,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,native,0.0,0.0,53,53,95,95,49,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,native,54.44,0,8,17,16,31,8,17,success,maven_returncode=0,135,0.135
innoq_cookie-based-session-springboot-app,native,69.58,64.71,31,76,61,194,21,59,success,maven_returncode=0,431,0.431
