id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
1,abuijze_bike-rental-demo,9,9,321,248,33,26,131,101,145,110,12,11,maven,true,open source,1913,b1881597de73293ac079281682e7a2d8fd9bf7df,improvement,11,1,2,0,0,0
2,abuijze_bike-rental-demo,9,9,321,248,33,26,131,101,145,110,12,11,maven,true,open source,1512,b1881597de73293ac079281682e7a2d8fd9bf7df,improvement,11,1,2,0,0,0
3,AgMonk_merge-gf-assets,3,3,76,69,10,10,33,31,31,27,2,1,maven,true,open source,468,46a42938e2110a68bf60a53ee341d3497592cfab,improvement,11,0,0,1,0,0
4,AgMonk_merge-gf-assets,3,3,76,69,10,10,33,31,31,27,2,1,maven,true,open source,388,46a42938e2110a68bf60a53ee341d3497592cfab,improvement,11,0,0,1,0,0
5,akhunovaa_customer-service,8,8,218,218,14,14,94,94,110,110,0,0,maven,true,open source,2432,dfc16df640b7bb2cf7aa59901e536524096ee51c,no improvement,11,0,0,0,0,0
6,akhunovaa_customer-service,8,8,218,218,14,14,94,94,110,110,0,0,maven,true,open source,2502,dfc16df640b7bb2cf7aa59901e536524096ee51c,no improvement,11,0,0,0,0,0
7,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,112,8ee50a8a6fead8aec13f95c482bdb787f6dc1714,improvement,11,0,1,0,0,0
8,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,122,8ee50a8a6fead8aec13f95c482bdb787f6dc1714,improvement,11,0,1,0,0,0
9,alkemyTech_OT275-server,12,11,332,243,29,26,112,96,155,104,36,17,maven,true,open source,1881,9247f789a305c173dd47719067630781241504ae,improvement,11,1,1,0,0,0
10,alkemyTech_OT275-server,12,11,332,243,29,26,112,96,155,104,36,17,maven,true,open source,1811,9247f789a305c173dd47719067630781241504ae,improvement,11,1,1,0,0,0
11,amigoscode_springboot-twilio,3,2,244,181,13,12,58,51,136,96,37,22,maven,true,open source,796,2e57cac243d89513ad1670e996a7bf7cd61152f9,improvement,11,1,0,0,0,0
12,amigoscode_springboot-twilio,3,2,244,181,13,12,58,51,136,96,37,22,maven,true,open source,653,2e57cac243d89513ad1670e996a7bf7cd61152f9,improvement,11,1,0,0,0,0
13,anicetkeric_aws-cognito-spring-auth-server,4,3,160,119,17,13,64,47,68,49,11,10,maven,true,open source,586,cb8b86c5570949c16011d911ea0edb3849ac470f,improvement,11,1,0,1,0,0
14,anicetkeric_aws-cognito-spring-auth-server,4,3,160,119,17,13,64,47,68,49,11,10,maven,true,open source,497,cb8b86c5570949c16011d911ea0edb3849ac470f,improvement,11,1,0,1,0,0
15,artmcoder_Buysell,5,0,203,0,21,0,82,0,82,0,18,0,maven,true,open source,120,8dfa460ac58e98fcfc4e016aa64f0c5ee475ff51,improvement,11,5,0,0,0,0
16,artmcoder_Buysell,5,0,203,0,21,0,82,0,82,0,18,0,maven,true,open source,115,8dfa460ac58e98fcfc4e016aa64f0c5ee475ff51,improvement,11,5,0,0,0,0
17,ashrawan_apache-poi-chart-sample,4,2,67,52,7,7,28,22,30,22,2,1,maven,true,open source,614,91ab300e227c2322184985ebe77db1ab5ef96370,improvement,11,0,3,0,0,0
18,ashrawan_apache-poi-chart-sample,4,2,67,52,7,7,28,22,30,22,2,1,maven,true,open source,468,91ab300e227c2322184985ebe77db1ab5ef96370,improvement,11,0,3,0,0,0
19,awslabs_kinesis-kafka-connector,4,3,82,43,3,1,40,24,38,17,1,1,maven,true,open source,179,4b70584c74014fc645097a2fd1b9c8e336250d4e,improvement,11,1,2,1,0,0
20,awslabs_kinesis-kafka-connector,4,3,82,43,3,1,40,24,38,17,1,1,maven,true,open source,143,4b70584c74014fc645097a2fd1b9c8e336250d4e,improvement,11,1,2,1,0,0
21,aws-samples_amazon-appflow-custom-jdbc-connector,4,1,56,14,2,1,27,7,26,6,1,0,maven,true,open source,186,214944bbfc437f43676b97c5e71824d3c42a8e7c,improvement,11,0,1,0,0,0
22,aws-samples_amazon-appflow-custom-jdbc-connector,4,1,56,14,2,1,27,7,26,6,1,0,maven,true,open source,173,214944bbfc437f43676b97c5e71824d3c42a8e7c,improvement,11,0,1,0,0,0
23,aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,6,6,137,129,1,1,30,27,86,81,20,20,maven,true,open source,1793,2fe493f747c73aa7dbe2fe99740f16684327d5bd,improvement,11,0,1,0,0,0
24,aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,6,6,137,129,1,1,30,27,86,81,20,20,maven,true,open source,1240,2fe493f747c73aa7dbe2fe99740f16684327d5bd,improvement,11,0,1,0,0,0
25,basquiat78_interface-bbuljit,2,2,103,103,14,14,38,38,45,45,6,6,maven,true,open source,423,ea25bb9543eae1f16d9da04575e1cf1b52a776e6,no improvement,11,0,0,0,0,0
26,basquiat78_interface-bbuljit,2,2,103,103,14,14,38,38,45,45,6,6,maven,true,open source,352,ea25bb9543eae1f16d9da04575e1cf1b52a776e6,no improvement,11,0,0,0,0,0
27,bulinha_residencia-serratec-music-manager-api,10,10,290,244,27,26,97,70,134,117,32,31,maven,true,open source,1038,6fc89deed9bbe874f1b87bb8909bc1df361fc151,improvement,11,5,0,0,0,0
28,bulinha_residencia-serratec-music-manager-api,10,10,290,244,27,26,97,70,134,117,32,31,maven,true,open source,901,6fc89deed9bbe874f1b87bb8909bc1df361fc151,improvement,11,5,0,0,0,0
29,bykowski_invoice-spring-mvc-example,4,0,160,0,18,0,55,0,69,0,18,0,maven,true,open source,111,6fb9ba76aaf829d0010061279b5d25fffcdda366,improvement,11,4,0,0,0,0
30,bykowski_invoice-spring-mvc-example,4,0,160,0,18,0,55,0,69,0,18,0,maven,true,open source,109,6fb9ba76aaf829d0010061279b5d25fffcdda366,improvement,11,4,0,0,0,0
31,code-it-team_gotcha-be,14,9,504,243,34,17,165,78,232,113,73,35,maven,true,open source,1401,2fd964881a3012ecb99fa58b0406d3fddff17811,improvement,11,6,2,0,0,0
32,code-it-team_gotcha-be,14,9,504,243,34,17,165,78,232,113,73,35,maven,true,open source,1264,2fd964881a3012ecb99fa58b0406d3fddff17811,improvement,11,6,2,0,0,0
33,cxzero_CVE-2022-42889-text4shell,3,2,102,100,14,14,39,38,42,42,7,6,maven,true,open source,436,18e0da21f2d96af151aa116e2f7900f860074353,improvement,11,0,0,0,0,0
