id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
1,abuijze_bike-rental-demo,9,8,336,181,33,20,140,71,151,79,12,11,maven,true,open source,1130,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,2,0,0,0
2,abuijze_bike-rental-demo,9,8,336,181,33,20,140,71,151,79,12,11,maven,true,open source,1049,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,2,0,0,0
3,AgMonk_merge-gf-assets,3,3,76,76,10,10,33,33,31,31,2,2,maven,true,open source,907,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
4,AgMonk_merge-gf-assets,3,3,76,76,10,10,33,33,31,31,2,2,maven,true,open source,800,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
5,akhunovaa_customer-service,7,7,175,175,10,10,73,73,92,92,0,0,maven,true,open source,2766,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
6,akhunovaa_customer-service,7,7,175,175,10,10,73,73,92,92,0,0,maven,true,open source,2766,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
7,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,104,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
8,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,106,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
9,alkemyTech_OT275-server,12,11,354,268,29,26,126,111,163,114,36,17,maven,true,open source,2322,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
10,alkemyTech_OT275-server,12,11,354,268,29,26,126,111,163,114,36,17,maven,true,open source,2322,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
11,amigoscode_springboot-twilio,3,3,248,187,13,12,62,55,136,98,37,22,maven,true,open source,782,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,0,0,0
