id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
4,alexandreaquiles_dibujo,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,128,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
2,AgMonk_merge-gf-assets,3,3,78,78,12,12,33,33,31,31,2,2,maven,true,open source,1173,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
5,amigoscode_springboot-twilio,3,3,252,191,14,13,64,57,137,99,37,22,maven,true,open source,1129,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,0,0,0
1,abuijze_bike-rental-demo,9,7,343,104,36,16,143,34,152,44,12,10,maven,true,open source,1282,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,2,0,0,0
7,artmcoder_Buysell,5,0,215,0,24,0,88,0,85,0,18,0,maven,true,open source,155,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
6,anicetkeric_aws-cognito-spring-auth-server,4,3,175,132,19,14,72,54,73,54,11,10,maven,true,open source,720,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,1,0,0
14,bykowski_invoice-spring-mvc-example,4,0,170,0,20,0,60,0,72,0,18,0,maven,true,open source,154,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
12,basquiat78_interface-bbuljit,2,2,112,112,15,15,43,43,48,48,6,6,maven,true,open source,637,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
16,cxzero_CVE-2022-42889-text4shell,3,2,111,109,15,15,44,43,45,45,7,6,maven,true,open source,814,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
17,DevUpgrade-online_season-2,8,1,240,5,24,0,100,3,96,2,20,0,maven,true,open source,449,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,0,1,0,0
18,dr-mod_tidy-flappy-bird,1,1,13,2,0,0,3,0,7,2,3,0,maven,true,open source,141,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
13,bulinha_residencia-serratec-music-manager-api,10,10,305,257,31,30,105,76,137,120,32,31,maven,true,open source,1968,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
19,eBay_digital-signature-verification-ebay-api,7,3,127,97,15,10,56,44,50,37,6,6,maven,true,open source,526,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,1,1,0,0
15,code-it-team_gotcha-be,14,8,528,253,39,18,179,84,237,116,73,35,maven,true,open source,2165,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,1,0,0,0
21,ErgunAhmet_DataJpaYt,5,1,176,12,20,1,71,7,71,3,14,1,maven,true,open source,176,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
22,fatihhernn_spring-boot-ecommerce,4,1,178,1,19,0,75,0,73,1,11,0,maven,true,open source,171,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,1,0,0
23,FENGYU-008_ERP,7,7,224,101,30,19,87,32,92,37,15,13,maven,true,open source,1011,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,1,0,0
24,fireinrain_javbus-telegram-bot,8,4,34,16,4,4,16,8,14,4,0,0,maven,true,open source,1212,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,5,2,0,0
26,francoiducat_springboot-minimal-graphql-client,4,0,247,0,24,0,103,0,105,0,15,0,maven,true,open source,164,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
20,eh3rrera_graphql-java-spring-boot-example,13,10,551,387,56,47,212,145,230,162,53,33,maven,true,open source,2192,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
27,gabrieldim_CSV-Export-Spring-Boot,3,0,169,0,19,0,67,0,65,0,18,0,maven,true,open source,146,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
28,gabrieldim_Email-Sender-Spring-Boot,3,0,163,0,19,0,68,0,65,0,11,0,maven,true,open source,180,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
29,gabrieldim_PDF-Generator-Spring-Boot,2,2,132,132,15,15,53,53,54,54,10,10,maven,true,open source,947,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
31,GCS-ZHN_movie-on-server,3,2,114,87,15,10,44,33,49,38,6,6,maven,true,open source,458,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,0,0,0
30,gavinklfong_spring-investment-platform,6,5,351,214,36,28,157,100,147,83,11,3,maven,true,open source,1415,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,2,0,0,0
25,folksdev_movie-api,12,10,389,368,38,38,161,152,161,152,29,26,maven,true,open source,2899,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
32,GSMgeeth_medium-coffeeshop-sample,5,5,182,180,22,22,71,71,74,72,15,15,maven,true,open source,1093,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
36,hannotify_eleven-crazy-java-things,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,89,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
37,hhimanshu_spring-boot-liquibase,5,0,174,0,20,0,72,0,69,0,13,0,maven,true,open source,176,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
38,innoq_cookie-based-session-springboot-app,5,0,226,0,22,0,93,0,87,0,24,0,maven,true,open source,213,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
39,itsecurityco_CVE-2022-22965,3,0,159,0,19,0,55,0,71,0,14,0,maven,true,open source,149,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,0,0,0
34,hamitmizrak_AllSpringBlogProject,14,9,490,355,41,32,167,117,214,149,68,57,maven,true,open source,1777,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,1,1,0,0
35,hamitmizrak_SpringMvcSpringDataSpringRest,11,3,366,80,39,7,135,34,156,30,36,9,maven,true,open source,983,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,8,1,1,0,0
